Elongation [mm],Equivalent plastic strain
0.996,2.419516563
1.008,2.424875259
1.02,2.430295944
1.032,2.435781002
1.044,2.441330433
1.056,2.446947336
1.068,2.452632189
1.08,2.458386898
1.092,2.464216232
1.104,2.470116138
1.116,2.476089478
1.128,2.482141018
1.14,2.488270998
1.152,2.494481564
1.164,2.500774622
1.176,2.507151365
1.188,2.513614416
1.2,2.520164728
1.188,2.520164728
1.176,2.520164728
1.164,2.520164728
1.152,2.520648479
1.14,2.523435593
1.128,2.52639246
1.116,2.529421806
1.104,2.532543659
1.092,2.535778999
1.08,2.53913641
1.068,2.542613029
1.056,2.546200275
1.044,2.549883842
1.032,2.553649426
1.02,2.557479858
1.008,2.561359882
0.996,2.56527853
0.984,2.569223881
0.972,2.573185682
0.96,2.577157259
0.948,2.581130981
0.936,2.585102081
0.924,2.589066505
0.912,2.593019962
0.9,2.596961498
0.888,2.600887299
0.876,2.60479641
0.864,2.608687639
0.852,2.612560272
0.84,2.616413355
0.828,2.62024641
0.816,2.6240592
0.804,2.627851963
0.792,2.631623983
0.78,2.635375977
0.768,2.639107704
0.756,2.642819405
0.744,2.646511555
0.732,2.650183678
0.72,2.653836966
0.708,2.65747118
0.696,2.661086798
0.684,2.664684296
0.672,2.668263912
0.66,2.671825886
0.648,2.675370693
0.636,2.678898811
0.624,2.682409763
0.612,2.685904741
0.6,2.689383745
0.588,2.692847252
0.576,2.696295261
0.564,2.699728966
0.552,2.703147888
0.54,2.706551075
0.528,2.709940434
0.516,2.713316441
0.504,2.716678858
0.492,2.720027208
0.48,2.723362446
0.468,2.726684809
0.456,2.729994297
0.444,2.733291388
0.432,2.73657608
0.42,2.739849567
0.408,2.743108749
0.396,2.746357441
0.384,2.74959445
0.372,2.752820492
0.36,2.756033421
0.348,2.759236336
0.336,2.762428045
0.324,2.765608788
0.312,2.768779993
0.3,2.771938562
0.288,2.775087833
0.276,2.778226376
0.264,2.781354904
0.252,2.784473896
0.24,2.787583351
0.228,2.790682793
0.216,2.793771029
0.204,2.796852112
0.192,2.799922943
0.18,2.802984953
0.168,2.806036472
0.156,2.809080839
0.144,2.812114716
0.132,2.815141678
0.12,2.818159819
0.108,2.821168661
0.096,2.824171782
0.084,2.827165842
0.072,2.830154419
0.06,2.833135128
0.048,2.836107254
0.036,2.839072227
0.024,2.842020988
0.012,2.844953775
0.0,2.84787178
0.012,2.84787178
0.024,2.84787178
0.036,2.84787178
0.048,2.84787178
0.06,2.849264145
0.072,2.851761818
0.084,2.854244232
0.096,2.856739521
0.108,2.859269142
0.12,2.861850739
0.132,2.864500999
0.144,2.867229223
0.156,2.87004137
0.168,2.872938633
0.18,2.875918865
0.192,2.878976822
0.204,2.882107258
0.216,2.885302782
0.228,2.888556242
0.24,2.891860962
0.252,2.895210981
0.264,2.898600817
0.276,2.902024746
0.288,2.905478954
0.3,2.908959389
0.312,2.912463903
0.324,2.915988207
0.336,2.919532299
0.348,2.923092604
0.36,2.926667213
0.372,2.930258751
0.384,2.933862686
0.396,2.937479973
0.408,2.941110611
0.42,2.944754362
0.432,2.948411465
0.444,2.95208168
0.456,2.955765247
0.468,2.959464073
0.48,2.963177204
0.492,2.966905594
0.504,2.970650434
0.516,2.97441268
0.528,2.978192329
0.54,2.981991768
0.552,2.985810518
0.564,2.989650011
0.576,2.993511677
0.588,2.997396469
0.6,3.001305103
0.612,3.00523901
0.624,3.009199381
0.636,3.013185978
0.648,3.017202377
0.66,3.021247625
0.672,3.025323868
0.684,3.029432058
0.696,3.033573151
0.708,3.037748337
0.72,3.041960239
0.732,3.046208858
0.744,3.050494671
0.756,3.054820299
0.768,3.059186459
0.78,3.063594341
0.792,3.068044186
0.804,3.072539806
0.816,3.077081203
0.828,3.081670523
0.84,3.086308002
0.852,3.090996265
0.864,3.095736027
0.876,3.100528717
0.888,3.10537672
0.9,3.110281467
0.912,3.115243912
0.924,3.120265961
0.936,3.125349998
0.948,3.130497217
0.96,3.135709524
0.972,3.140988588
0.984,3.146337509
0.996,3.151757002
1.008,3.157249451
1.02,3.162817001
1.032,3.168462753
1.044,3.17418766
1.056,3.179994583
1.068,3.185885906
1.08,3.191864252
1.092,3.19793129
1.104,3.204091072
1.116,3.210344315
1.128,3.216695309
1.14,3.223146439
1.152,3.229700327
1.164,3.236359596
1.176,3.243127584
1.188,3.250007629
1.2,3.257002354
1.188,3.257002354
1.176,3.257002354
1.164,3.257002354
1.152,3.257486343
1.14,3.260199547
1.128,3.263124704
1.116,3.266134739
1.104,3.269239902
1.092,3.272459269
1.08,3.275799513
1.068,3.279256105
1.056,3.282819271
1.044,3.286473751
1.032,3.290203571
1.02,3.293992996
1.008,3.297825813
0.996,3.301690578
0.984,3.305576324
0.972,3.309471846
0.96,3.313371181
0.948,3.317267418
0.936,3.321157455
0.924,3.325034857
0.912,3.32889843
0.9,3.332744598
0.888,3.33657217
0.876,3.340379953
0.864,3.344166279
0.852,3.347930908
0.84,3.351673365
0.828,3.355393887
0.816,3.359090805
0.804,3.362765312
0.792,3.366417885
0.78,3.370048523
0.768,3.373656273
0.756,3.377242088
0.744,3.3808074
0.732,3.384351254
0.72,3.387874603
0.708,3.391377449
0.696,3.394860744
0.684,3.39832449
0.672,3.401769161
0.66,3.405194759
0.648,3.40860343
0.636,3.411993742
0.624,3.415365458
0.612,3.418721914
0.6,3.422060013
0.588,3.425382137
0.576,3.428688526
0.564,3.431979179
0.552,3.435255051
0.54,3.438514471
0.528,3.441760063
0.516,3.444991112
0.504,3.448207855
0.492,3.451411486
0.48,3.454600334
0.468,3.457776546
0.456,3.460938931
0.444,3.464089394
0.432,3.467226505
0.42,3.470351458
0.408,3.473464012
0.396,3.476564407
0.384,3.479654312
0.372,3.482730389
0.36,3.485795498
0.348,3.488849401
0.336,3.491892815
0.324,3.494924545
0.312,3.497945547
0.3,3.500956535
0.288,3.503955126
0.276,3.50694418
0.264,3.509922981
0.252,3.512891293
0.24,3.515850067
0.228,3.518797636
0.216,3.521735668
0.204,3.524663925
0.192,3.527582169
0.18,3.530491352
0.168,3.533390999
0.156,3.536280394
0.144,3.539160728
0.132,3.542031527
0.12,3.544893503
0.108,3.547746181
0.096,3.550590515
0.084,3.553424835
0.072,3.556249857
0.06,3.559066534
0.048,3.561874628
0.036,3.564673662
0.024,3.567464828
0.012,3.570246696
0.0,3.57301712
0.012,3.57301712
0.024,3.57301712
0.036,3.57301712
0.048,3.57301712
0.06,3.573962212
0.072,3.576295376
0.084,3.578640461
0.096,3.581007481
0.108,3.583416939
0.12,3.585885525
0.132,3.588424921
0.144,3.591042995
0.156,3.593743324
0.168,3.596526384
0.18,3.599388123
0.192,3.602324486
0.204,3.605327845
0.216,3.608392
0.228,3.611510754
0.24,3.614675522
0.252,3.617882729
0.264,3.621125698
0.276,3.624400377
0.288,3.62770319
0.3,3.631029844
0.312,3.634379387
0.324,3.637748003
0.336,3.64113307
0.348,3.644536257
0.36,3.647955418
0.372,3.651388645
0.384,3.654836178
0.396,3.658298016
0.408,3.661774635
0.42,3.665265322
0.432,3.668770313
0.444,3.672290325
0.456,3.675826073
0.468,3.679378271
0.48,3.682947159
0.492,3.686534166
0.504,3.690140009
0.516,3.693765163
0.528,3.697411537
0.54,3.701078892
0.552,3.704770088
0.564,3.708484173
0.576,3.71222353
0.588,3.71598959
0.6,3.719782829
0.612,3.723604679
0.624,3.72745657
0.636,3.731339455
0.648,3.735254765
0.66,3.739204407
0.672,3.743188858
0.684,3.747210264
0.696,3.751269102
0.708,3.755367756
0.72,3.759505749
0.732,3.763687372
0.744,3.767912865
0.756,3.772184134
0.768,3.776502609
0.78,3.780869484
0.792,3.785287857
0.804,3.789757729
0.816,3.794281483
0.828,3.798861742
0.84,3.803499699
0.852,3.808197975
0.864,3.812958002
0.876,3.81778264
0.888,3.822673559
0.9,3.827633381
0.912,3.832664967
0.924,3.837770224
0.936,3.842951775
0.948,3.848212242
0.96,3.853555202
0.972,3.858982563
0.984,3.864498854
0.996,3.870105743
1.008,3.875807762
1.02,3.881607294
1.032,3.887508869
1.044,3.89351511
1.056,3.899630785
1.068,3.90585947
1.08,3.912205219
1.092,3.918673038
1.104,3.925266266
1.116,3.93198967
1.128,3.938848495
1.14,3.945847034
1.152,3.952991009
1.164,3.960284948
1.176,3.96773386
1.188,3.975343704
1.2,3.983119726
1.188,3.983119726
1.176,3.983119726
1.164,3.983119726
1.152,3.983649254
1.14,3.986288548
1.128,3.989161491
1.116,3.992141247
1.104,3.99522543
1.092,3.998424053
1.08,4.001739502
1.068,4.005165577
1.056,4.008688927
1.044,4.012294292
1.032,4.015963554
1.02,4.019681454
1.008,4.023431301
0.996,4.027201653
0.984,4.030982494
0.972,4.034765244
0.96,4.038540363
0.948,4.042305946
0.936,4.046055794
0.924,4.049785137
0.912,4.053494453
0.9,4.057180405
0.888,4.060839176
0.876,4.064474106
0.864,4.068082809
0.852,4.071663857
0.84,4.075219154
0.828,4.078746796
0.816,4.082249165
0.804,4.085722923
0.792,4.089172363
0.78,4.092596054
0.768,4.095994473
0.756,4.099367619
0.744,4.1027174
0.732,4.106042862
0.72,4.109345436
0.708,4.112626076
0.696,4.115883827
0.684,4.119119644
0.672,4.122335434
0.66,4.125530243
0.648,4.128704548
0.636,4.131859779
0.624,4.134996414
0.612,4.138113976
0.6,4.141213894
0.588,4.144294739
0.576,4.147359371
0.564,4.150406837
0.552,4.153437614
0.54,4.156452179
0.528,4.159451485
0.516,4.162435055
0.504,4.165403366
0.492,4.168356419
0.48,4.17129612
0.468,4.174220562
0.456,4.177131176
0.444,4.180028915
0.432,4.18291235
0.42,4.185782433
0.408,4.188639641
0.396,4.191484451
0.384,4.194316864
0.372,4.197135448
0.36,4.199943542
0.348,4.202738762
0.336,4.205523014
0.324,4.208294868
0.312,4.211055279
0.3,4.213804245
0.288,4.216542244
0.276,4.219269276
0.264,4.221984863
0.252,4.224690437
0.24,4.227384567
0.228,4.23006916
0.216,4.232741833
0.204,4.235404968
0.192,4.23805809
0.18,4.240701199
0.168,4.243334293
0.156,4.245957375
0.144,4.248570442
0.132,4.251173973
0.12,4.253767967
0.108,4.256351471
0.096,4.258927345
0.084,4.261492252
0.072,4.264047623
0.06,4.266593933
0.048,4.269130707
0.036,4.271658897
0.024,4.274176598
0.012,4.276685238
0.0,4.279184341
0.02,4.279184341
0.04,4.279184341
0.06,4.279542923
0.08,4.283010483
0.1,4.286610603
0.12,4.290351391
0.14,4.294286728
0.16,4.298436165
0.18,4.30279541
0.2,4.307342529
0.22,4.312051773
0.24,4.316894531
0.26,4.321846008
0.28,4.326885223
0.3,4.331997395
0.32,4.337170601
0.34,4.34239769
0.36,4.347672939
0.38,4.352994442
0.4,4.358360767
0.42,4.363773823
0.44,4.369235039
0.46,4.374749184
0.48,4.380317688
0.5,4.38594532
0.52,4.391639709
0.54,4.397403717
0.56,4.403244019
0.58,4.409166813
0.6,4.415178299
0.62,4.421285629
0.64,4.427497864
0.66,4.433819294
0.68,4.440260887
0.7,4.446829796
0.72,4.453534126
0.74,4.460386276
0.76,4.467393875
0.78,4.474570274
0.8,4.481927395
0.82,4.489476204
0.84,4.497233391
0.86,4.50521183
0.88,4.513431072
0.9,4.52190876
0.92,4.530663967
0.94,4.539720058
0.96,4.549099922
0.98,4.558829308
1.0,4.568938255
1.02,4.579455376
1.04,4.590417385
1.06,4.601857662
1.08,4.613817215
1.1,4.626336098
1.12,4.639461517
1.14,4.653237343
1.16,4.667713165
1.18,4.682941914
1.2,4.698973656
1.22,4.715864182
1.24,4.733666897
1.26,4.752437592
1.28,4.772230625
1.3,4.793104649
1.32,4.815121174
1.34,4.838349342
1.36,4.862870216
1.38,4.888774872
1.4,4.916189194
1.42,4.945245266
1.44,4.976111412
1.46,5.008966446
1.48,5.043972015
1.5,5.081228733
1.52,5.120633125
1.54,5.161721706
1.56,5.204167843
1.58,5.247804165
1.6,5.292561531
1.62,5.338424683
1.64,5.385331631
1.66,5.433188915
1.68,5.481823921
1.7,5.531018257
1.72,5.580544472
