Elongation [mm],Equivalent plastic strain
0.6048,3.29071188
0.6132,3.295725584
0.6216,3.300769567
0.63,3.305844307
0.6384,3.310950994
0.6468,3.316091537
0.6552,3.321266413
0.6636,3.326476812
0.672,3.331724167
0.6804,3.337009907
0.6888,3.342334747
0.6972,3.347699642
0.7056,3.353107691
0.714,3.358559132
0.7224,3.36405468
0.7308,3.369596958
0.7392,3.375187397
0.7476,3.380826712
0.756,3.386518002
0.7644,3.392261267
0.7728,3.398059845
0.7812,3.403914452
0.7896,3.409826994
0.798,3.415799856
0.8064,3.421833992
0.8148,3.427932739
0.8232,3.43409729
0.8316,3.440326929
0.84,3.446628809
0.8316,3.446628809
0.8232,3.446628809
0.8148,3.446628809
0.8064,3.446628809
0.798,3.446628809
0.7896,3.446650028
0.7812,3.448539257
0.7728,3.450740099
0.7644,3.453171253
0.756,3.455822468
0.7476,3.458703756
0.7392,3.461815596
0.7308,3.46514678
0.7224,3.468677282
0.714,3.472378492
0.7056,3.476225615
0.6972,3.480191231
0.6888,3.484251738
0.6804,3.488390207
0.672,3.492586374
0.6636,3.496828079
0.6552,3.501107693
0.6468,3.505411625
0.6384,3.5097332
0.63,3.514068842
0.6216,3.518409729
0.6132,3.522754669
0.6048,3.527097702
0.5964,3.53143692
0.588,3.53577137
0.5796,3.540095091
0.5712,3.54440999
0.5628,3.54871273
0.5544,3.553003073
0.546,3.557278633
0.5376,3.561538935
0.5292,3.565784931
0.5208,3.570012808
0.5124,3.574226379
0.504,3.578421593
0.4956,3.58259964
0.4872,3.586760998
0.4788,3.590904713
0.4704,3.595031738
0.462,3.599140167
0.4536,3.603231668
0.4452,3.607304335
0.4368,3.611360312
0.4284,3.615398884
0.42,3.619420052
0.4116,3.623423576
0.4032,3.627410412
0.3948,3.631380081
0.3864,3.635334015
0.378,3.639269829
0.3696,3.643189669
0.3612,3.647092104
0.3528,3.650979996
0.3444,3.65485239
0.336,3.658708572
0.3276,3.66254878
0.3192,3.66637373
0.3108,3.670183182
0.3024,3.673977852
0.294,3.67775774
0.2856,3.6815238
0.2772,3.685274363
0.2688,3.689012051
