Elongation [mm],Equivalent plastic strain
0.246,0.420904875
0.24,0.421725154
0.234,0.422534078
0.228,0.423331857
0.222,0.424118608
0.216,0.424894273
0.21,0.42565906
0.204,0.426413238
0.198,0.427156985
0.192,0.427890569
0.186,0.428614318
0.18,0.429328591
0.174,0.430033833
0.168,0.430730522
0.162,0.431418419
0.156,0.432098657
0.15,0.432771057
0.144,0.433435947
0.138,0.434094042
0.132,0.43474555
0.126,0.435390919
0.12,0.436030477
0.114,0.436663985
0.108,0.437292188
0.102,0.437915027
0.096,0.43853274
0.09,0.439145148
0.084,0.4397524
0.078,0.440354615
0.072,0.440951943
0.066,0.441544175
0.06,0.442131698
0.054,0.442714304
0.048,0.443292171
0.042,0.443865478
0.036,0.444433957
0.03,0.444997877
0.024,0.445557266
0.018,0.446112096
0.012,0.446662486
0.006,0.447208434
0,0.447750032
0.006,0.447750032
0.012,0.447750032
0.018,0.447750032
0.024,0.447750032
0.03,0.447750032
0.036,0.447750032
0.042,0.447750032
0.048,0.447750032
0.054,0.447750032
0.06,0.447750032
0.066,0.447750032
0.072,0.447750032
0.078,0.447750032
0.084,0.447961688
0.09,0.448474467
0.096,0.449011087
0.102,0.449568003
0.108,0.450142622
0.114,0.450733364
0.12,0.451338291
0.126,0.451954365
0.132,0.452571332
0.138,0.453174293
0.144,0.453769892
0.15,0.454364538
0.156,0.454961479
0.162,0.455562115
0.168,0.456164807
0.174,0.456769794
0.18,0.457379401
0.186,0.457995921
0.192,0.458620608
0.198,0.459255278
0.204,0.459901601
0.21,0.460561037
0.216,0.461234927
0.222,0.46192497
0.228,0.462632537
0.234,0.463359118
0.24,0.464105934
0.246,0.464874089
0.252,0.465664506
0.258,0.46647799
0.264,0.467315406
0.27,0.468177497
0.276,0.469064981
0.282,0.469978511
0.288,0.470918685
0.294,0.471886098
0.3,0.472881317
0.306,0.473904788
0.312,0.474957108
0.318,0.476038754
0.324,0.477150202
0.33,0.478291869
0.336,0.479464233
0.342,0.48066771
0.348,0.481902748
0.354,0.483169854
0.36,0.484469384
0.366,0.485801846
0.372,0.487167656
0.378,0.488567233
0.384,0.490001142
0.39,0.491469651
0.396,0.492973149
0.402,0.494511902
0.408,0.496086329
0.414,0.497696519
0.42,0.499342978
0.426,0.501025915
0.432,0.502745509
0.438,0.504502296
0.444,0.506296635
0.45,0.508128643
0.456,0.509998977
0.462,0.511907935
0.468,0.513856053
0.474,0.515843511
0.48,0.517871141
0.486,0.519938469
0.492,0.522048354
0.498,0.524199009
0.504,0.526391983
0.51,0.528627813
0.516,0.530906975
