id,investigator,specimen_ID,date,cross_section_shape,cross_section_size,area,d_br,b_br,t_br,w_br,i_x,i_y,r_x,r_y,z_x,z_y,j,configuration,brace_angle,l_b,l_b_clear,steel,e,f_yn,fy_m,f_um,boundary_condition,l_1t,l_2t,l_3t,l_4t,l_5t,l_6t,l_7t,_8t,t_t,l_1b,l_2b,l_3b,l_4b,l_5b,l_6b,l_7b,l_8b,t_b,steel_gp,f_yn_gp,f_ym_gp,f_um_gp,weld_type,l_weld,t_weld,stick_space,nub_bolts,bolt_size,bolt_mat,reinforcement_pl,loading_protocol,p_t,p_t_theory,p_c,kl_r,l_c,l_c_theory,k_assumed,kl_r_theory,reference,link,latitude,longitude
Fell_et_al_P1-3,"Fell, Kanvinde & Deierlein",P1-3,2009,Circular HSS,Pipe127STD,2587,141,141,6.12,na,5950000,5950000,47.8,47.8,112000,112000,469000,SB,45,3010,2400,A53 Gr. B,200000,240,326,421,Gusset plate,508,177.8,343,38,na,na,na,na,12.7,508,177.8,343,38,na,na,na,na,12.7,A572 Gr.50,345,nr,nr,Fillet,305,6.4,na,na,na,na,279x76x6.4,Near Field Tension,1299,843.4,565,63,0.8,0.81,1,62.97,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_P1-4,"Fell, Kanvinde & Deierlein",P1-4,2009,Circular HSS,Pipe127STD,2587,141,141,6.12,na,5950000,5950000,47.8,47.8,112000,112000,469000,SB,45,3010,2400,A53 Gr. B,200000,240,326,421,Gusset plate,508,177.8,343,38,na,na,na,na,12.7,508,177.8,343,38,na,na,na,na,12.7,A572 Gr.50,345,nr,nr,Fillet,305,6.4,na,na,na,na,279x76x6.4,Near Field Tension,1241,843.4,N/A,63,0.8,0.81,1,62.97,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_P2-1,"Fell, Kanvinde & Deierlein",P2-1,2009,Circular HSS,Pipe76STD,1335.5,88.4,88.4,5.11,na,1190000,1190000,29.7,29.7,35900,35900,2370000,SB,45,3010,2680,A53 Gr. B,200000,240,372,464,Gusset plate,508,126.8,203,38,na,na,na,na,12.7,508,126.8,203,38,na,na,na,na,12.7,A572 Gr.50,345,nr,nr,Fillet,165,6.4,na,na,na,na,152x51x6.4,Symmetric Cyclic,587,496.8,356,102,1.4,1.39,1,101.35,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_P2-2,"Fell, Kanvinde & Deierlein",P2-2,2009,Circular HSS,Pipe76STD,1335.5,88.4,88.4,5.11,na,1190000,1190000,29.7,29.7,35900,35900,2370000,SB,45,3010,2680,A53 Gr. B,200000,240,372,464,Gusset plate,508,126.8,203,38,na,na,na,na,12.7,508,126.8,203,38,na,na,na,na,12.7,A572 Gr.50,345,nr,nr,Fillet,165,6.4,na,na,na,na,152x51x6.4,Symmetric Cyclic,578,496.8,374,102,1.4,1.39,1,101.35,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_P2-3,"Fell, Kanvinde & Deierlein",P2-3,2009,Circular HSS,Pipe76STD,1335.5,88.4,88.4,5.11,na,1190000,1190000,29.7,29.7,35900,35900,2370000,SB,45,3010,2680,A53 Gr. B,200000,240,372,464,Gusset plate,508,126.8,203,38,na,na,na,na,12.7,508,126.8,203,38,na,na,na,na,12.7,A572 Gr.50,345,nr,nr,Fillet,165,6.4,na,na,na,na,152x51x6.4,Near Field Tension,663,496.8,254,102,1.4,1.39,1,101.35,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_P2-4,"Fell, Kanvinde & Deierlein",P2-4,2009,Circular HSS,Pipe76STD,1335.5,88.4,88.4,5.11,na,1190000,1190000,29.7,29.7,35900,35900,2370000,SB,45,3010,2680,A53 Gr. B,200000,240,372,464,Gusset plate,508,126.8,203,38,na,na,na,na,12.7,508,126.8,203,38,na,na,na,na,12.7,A572 Gr.50,345,nr,nr,Fillet,165,6.4,na,na,na,na,152x51x6.4,Near Field Tension,641,496.8,N/A,102,1.4,1.39,1,101.35,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_W1,"Fell, Kanvinde & Deierlein",W1,2009,I-shaped,W310x24,3040,605,101,6.7,5.6,42700000,1160000,119,19.5,328000,36700,42500,SB,45,3010,2780,A992 Gr. 50,200000,345,414,544,Gusset plate,508,355.8,153,38,na,na,na,na,12.7,508,355.8,153,38,na,na,na,na,12.7,A572 Gr.50,345,nr,nr,Fillet,152,6.4,na,na,na,na,203x127x9.5 Slotted Plate CJP,Symmetric Cyclic,1272,1258.6,414,153,2.2,2.24,1,154.36,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_W2,"Fell, Kanvinde & Deierlein",W2,2009,I-shaped,W310x24,3040,605,101,6.7,5.6,42700000,1160000,119,19.5,328000,36700,42500,SB,45,3010,2780,A992 Gr. 50,200000,345,414,544,Gusset plate,508,355.8,153,38,na,na,na,na,12.7,508,355.8,153,38,na,na,na,na,12.7,A572 Gr.50,345,nr,nr,Fillet,152,6.4,na,na,na,na,203x127x9.5 Slotted Plate CJP,Near Field Compression,1277,1258.6,365,153,2.2,2.24,1,154.36,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_W3,"Fell, Kanvinde & Deierlein",W3,2009,I-shaped,W310x24,3040,605,101,6.7,5.6,42700000,1160000,119,19.5,328000,36700,42500,SB,45,3010,2780,A992 Gr. 50,200000,345,414,544,Gusset plate,508,355.8,152,38,na,na,na,na,12.7,508,355.8,152,38,na,na,na,na,12.7,A572 Gr.50,345,nr,nr,Fillet,152,6.4,na,na,na,na,203x127x9.5 Slotted Plate CJP,Near Field Tension,1437,1258.6,334,153,2.2,2.24,1,154.36,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Takeuchi_Matsui_528,Takeuchi & Matsui,528,2011,Circular HSS,Pipe76STD,863,89,89,3.2,na,796192.01,796192.01,30.8,30.8,17900,17900,905813,SBF,45,1622,1242,STK400 (JIS G3444),200000,235,349,416,Gusset plate,na,na,na,na,na,na,na,na,na,Pin-Pin Ended,Pin-Pin Ended,Pin-Pin Ended,Pin-Pin Ended,na,na,na,na,Pin-Pin Ended,na,na,na,na,na,na,na,na,na,na,na,na,Symmetric Cyclic,305.8,300.9,283.3,53,0.7,0.7,1,52.66,"Takeuchi, T., and Matsui, R. (2011). ""Cumulative Cyclic Deformation Capacity of Circular Tubular Braces Under Local Buckling,"" ASCE, Journal of Structural Engineering, 137(11): 1311-1318.",https://doi.org/10.1061/(ASCE)ST.1943-541X.0000380,35.625759,139.341531
