id,investigator,specimen_ID,date,cross_section_shape,cross_section_size,area,d_br,b_br,t_br,w_br,i_x,i_y,r_x,r_y,z_x,z_y,j,configuration,brace_angle,l_b,l_b_clear,steel,e,f_yn,fy_m,f_um,boundary_condition,l_1t,l_2t,l_3t,l_4t,l_5t,l_6t,l_7t,_8t,t_t,l_1b,l_2b,l_3b,l_4b,l_5b,l_6b,l_7b,l_8b,t_b,steel_gp,f_yn_gp,f_ym_gp,f_um_gp,weld_type,l_weld,t_weld,stick_space,nub_bolts,bolt_size,bolt_mat,reinforcement_pl,loading_protocol,p_t,p_t_theory,p_c,kl_r,l_c,l_c_theory,k_assumed,kl_r_theory,reference,link,latitude,longitude
Aslani_C1,Aslani,C1,1989,Double Channel,2 C130x10,2489.28,127,88,4.8,8.1,6134497,2762792,99.28,66.62,114216,75612,5854838,SBF,45,3405,3405,ASTM A36,200000,250,365,nr,Gusset plate,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,nr,nr,533.4,na,na,na,na,EQ Protocol,nr,909.6,nr,50,0.7,0.7,1,51.11,"Aslani, A.F. (1989). ""Experimental and analytical study of the inelastic behavior of double angle bracing members under severe cyclic loading"", PhD thesis, Department of Civil Engineering, University of Michigan, Ann Arbor, Michigan, USA",https://deepblue.lib.umich.edu/handle/2027.42/128302,42.278046,-83.73822
Aslani_C2,Aslani,C2,1989,Double Channel,2 C100X8,2017.8,102,80,7.5,4.7,3200527,18007552,99.28,66.62,74487,54790,3541646,SBF,45,3059,3059,ASTM A36,200000,250,317,nr,Gusset plate,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,nr,nr,0,na,na,na,na,EQ Protocol,nr,640,nr,50,0.6,0.58,1,45.92,"Aslani, A.F. (1989). ""Experimental and analytical study of the inelastic behavior of double angle bracing members under severe cyclic loading"", PhD thesis, Department of Civil Engineering, University of Michigan, Ann Arbor, Michigan, USA",https://deepblue.lib.umich.edu/handle/2027.42/128302,42.278046,-83.73822
Aslani_C3,Aslani,C3,1989,Double Channel,2 C100X8,2017.8,102,80,7.5,4.7,3200527,18007552,99.28,66.62,74487,54790,3541646,SBF,45,3059,3059,ASTM A36,200000,250,nr,nr,Gusset plate,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,nr,nr,254,na,na,na,na,EQ Protocol,nr,#VALUE!,nr,50,#VALUE!,#VALUE!,1,45.92,"Aslani, A.F. (1989). ""Experimental and analytical study of the inelastic behavior of double angle bracing members under severe cyclic loading"", PhD thesis, Department of Civil Engineering, University of Michigan, Ann Arbor, Michigan, USA",https://deepblue.lib.umich.edu/handle/2027.42/128302,42.278046,-83.73822
Haddad_1,Haddad,1,2004,Rectangular HSS,152x152x8,4030,152,152,8,na,13900000,13900000,58.8,58.8,217000,217000,22400000,SB,45,4850,4850,G40.21-M350W,200000,350,467,nr,Gusset plate,250,250,400,50,na,250,na,na,25.4,250,250,400,50,na,250,na,na,25.4,A572 Gr.50,345,300,nr,Fillet,350,10,na,na,na,na,na,Symmetric Cyclic,1968.6,1882,1322.9,64.7,1,0.89,0.7,57.74,"Haddad, M. A. (2004). ""Design of concentrically braced steel frames for earthquakes."", PhD Thesis, University of Calgary, Canada",https://prism.ucalgary.ca/handle/1880/40326,51.078621,-114.136719
Haddad_2,Haddad,2,2004,Rectangular HSS,152x152x8,4030,152,152,8,na,13900000,13900000,58.8,58.8,217000,217000,22400000,SB,45,4850,4850,G40.21-M350W,200000,350,467,nr,Gusset plate,250,250,400,50,na,250,na,na,25.4,250,250,400,50,na,250,na,na,25.4,A572 Gr.50,345,300,nr,Fillet,350,10,na,na,na,na,na,Symmetric Cyclic,2075.7,1882,1188,64.7,1,0.89,0.7,57.74,"Haddad, M. A. (2004). ""Design of concentrically braced steel frames for earthquakes."", PhD Thesis, University of Calgary, Canada",https://prism.ucalgary.ca/handle/1880/40326,51.078621,-114.136719
Haddad_3,Haddad,3,2004,Rectangular HSS,152x152x8,4030,152,152,8,na,13900000,13900000,58.8,58.8,217000,217000,22400000,SB,45,4850,4850,G40.21-M350W,200000,350,467,nr,Gusset plate,250,250,400,50,na,250,na,na,25.4,250,250,400,50,na,250,na,na,25.4,A572 Gr.50,345,300,nr,Fillet,350,10,na,na,na,na,na,Symmetric Cyclic,2319,1882,1381.2,64.7,1,0.89,0.7,57.74,"Haddad, M. A. (2004). ""Design of concentrically braced steel frames for earthquakes."", PhD Thesis, University of Calgary, Canada",https://prism.ucalgary.ca/handle/1880/40326,51.078621,-114.136719
Haddad_4,Haddad,4,2004,Rectangular HSS,127x127x8,3300,127,127,8,na,7730000,7730000,48.4,48.4,146000,146000,12600000,SB,45,4350,4350,G40.21-M350W,200000,350,480,nr,Gusset plate,225,225,350,50,na,225,na,na,25.4,225,225,350,50,na,225,na,na,25.4,A572 Gr.50,345,300,nr,Fillet,300,8,na,na,na,na,na,Symmetric Cyclic,1954.8,1585,1073.3,66.2,1,0.98,0.7,62.91,"Haddad, M. A. (2004). ""Design of concentrically braced steel frames for earthquakes."", PhD Thesis, University of Calgary, Canada",https://prism.ucalgary.ca/handle/1880/40326,51.078621,-114.136719
Haddad_5,Haddad,5,2004,Rectangular HSS,127x127x8,3300,127,127,8,na,7730000,7730000,48.4,48.4,146000,146000,12600000,SB,45,4350,4350,G40.21-M350W,200000,350,480,nr,Gusset plate,225,225,350,50,na,225,na,na,38.1,225,225,350,50,na,225,na,na,38.1,A572 Gr.50,345,300,nr,Fillet,300,8,na,na,na,na,na,Symmetric Cyclic,1964.3,1585,1250,54.3,0.8,0.98,0.7,62.91,"Haddad, M. A. (2004). ""Design of concentrically braced steel frames for earthquakes."", PhD Thesis, University of Calgary, Canada",https://prism.ucalgary.ca/handle/1880/40326,51.078621,-114.136719
Haddad_6,Haddad,6,2004,Rectangular HSS,127x127x8,3300,127,127,8,na,7730000,7730000,48.4,48.4,146000,146000,12600000,SB,45,4350,4350,G40.21-M350W,200000,350,480,nr,Gusset plate,225,225,350,50,na,225,na,na,50.8,225,225,350,50,na,225,na,na,50.8,A572 Gr.50,345,300,nr,Fillet,300,8,na,na,na,na,na,Symmetric Cyclic,1998.5,1585,1498.5,49.9,0.8,0.98,0.7,62.91,"Haddad, M. A. (2004). ""Design of concentrically braced steel frames for earthquakes."", PhD Thesis, University of Calgary, Canada",https://prism.ucalgary.ca/handle/1880/40326,51.078621,-114.136719
Haddad_7,Haddad,7,2004,Rectangular HSS,127x127x8,3300,127,127,8,na,7730000,7730000,48.4,48.4,146000,146000,12600000,SB,45,3050,3050,G40.21-M350W,200000,350,480,nr,Gusset plate,225,225,350,50,na,225,na,na,25.4,225,225,350,50,na,225,na,na,25.4,A572 Gr.50,345,300,nr,Fillet,300,12,na,na,na,na,na,Symmetric Cyclic,2000.8,1585,1529.3,49.9,0.8,0.69,0.7,44.11,"Haddad, M. A. (2004). ""Design of concentrically braced steel frames for earthquakes."", PhD Thesis, University of Calgary, Canada",https://prism.ucalgary.ca/handle/1880/40326,51.078621,-114.136719
Haddad_8,Haddad,8,2004,Rectangular HSS,127x127x13,5390,127,127,13,na,11300000,11300000,45.7,45.7,225000,225000,19500000,SB,45,4350,4350,G40.21-M350W,200000,350,500,nr,Gusset plate,350,350,350,50,na,350,na,na,25.4,350,350,350,50,na,350,na,na,25.4,A572 Gr.50,345,300,nr,Fillet,300,12,na,na,na,na,na,Symmetric Cyclic,2875.6,2695,1750,67.9,1.1,1.06,0.7,66.63,"Haddad, M. A. (2004). ""Design of concentrically braced steel frames for earthquakes."", PhD Thesis, University of Calgary, Canada",https://prism.ucalgary.ca/handle/1880/40326,51.078621,-114.136719
Haddad_9,Haddad,9,2004,Rectangular HSS,127x127x13,5390,127,127,13,na,11300000,11300000,45.7,45.7,225000,225000,19500000,SB,45,4350,4350,G40.21-M350W,200000,350,500,nr,Gusset plate,350,350,350,50,na,350,na,na,50.8,350,350,350,50,na,350,na,na,50.8,A572 Gr.50,345,300,nr,Fillet,300,12,na,na,na,na,na,Symmetric Cyclic,2697.9,2695,2211.2,52,0.8,1.06,0.7,66.63,"Haddad, M. A. (2004). ""Design of concentrically braced steel frames for earthquakes."", PhD Thesis, University of Calgary, Canada",https://prism.ucalgary.ca/handle/1880/40326,51.078621,-114.136719
Haddad_10,Haddad,10,2004,Rectangular HSS,127x127x13,5390,127,127,13,na,11300000,11300000,45.7,45.7,225000,225000,19500000,SB,45,3450,3450,G40.21-M350W,200000,350,500,nr,Gusset plate,350,350,350,50,na,350,na,na,25.4,350,350,350,50,na,350,na,na,25.4,A572 Gr.50,345,300,nr,Fillet,300,12,na,na,na,na,na,Symmetric Cyclic,2651.5,2695,2070.3,52,0.8,0.84,0.7,52.84,"Haddad, M. A. (2004). ""Design of concentrically braced steel frames for earthquakes."", PhD Thesis, University of Calgary, Canada",https://prism.ucalgary.ca/handle/1880/40326,51.078621,-114.136719
Tremblay_RHS2,Tremblay et al.,RHS 2,2008,Rectangular HSS,254x254x16,13600,254,254,16,na,124000000,124000000,96.8,96.8,1170000,1170000,202000000,SB,35,4293,4293,A500 Gr. C,200000,345,397,nr,Gusset plate,nr,nr,nr,nr,nr,nr,nr,na,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,A572 Gr.50,345,nr,nr,nr,nr,nr,na,na,na,na,na,Symmetric Cyclic,5637.1,5399.2,4758.6,40,0.6,0.44,0.7,31.04,"Tremblay, R., Haddad, M., Martinez, G., Richard, J., & Moffatt, K. (2008). Inelastic Cyclic Testing of Large Size Steel Bracing Members, Proceedings, the 14th World Conference on Earthquake Engineering, October 12-17, 2008, Beijing, China",https://www.iitk.ac.in/nicee/wcee/article/14_05-05-0071.PDF,45.505,-73.614
Tremblay_RHS4,Tremblay et al.,RHS 4,2008,Rectangular HSS,254x254x13,11100,254,254,13,na,104000000,104000000,98.2,98.2,968000,968000,167000000,SB,35,4360,4360,A500 Gr. C,200000,345,397,nr,Gusset plate,nr,nr,nr,nr,nr,nr,nr,na,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,A572 Gr.50,345,nr,nr,nr,nr,nr,na,na,na,na,na,Symmetric Cyclic,4767.7,4406.7,4022.3,40,0.6,0.44,0.7,31.08,"Tremblay, R., Haddad, M., Martinez, G., Richard, J., & Moffatt, K. (2008). Inelastic Cyclic Testing of Large Size Steel Bracing Members, Proceedings, the 14th World Conference on Earthquake Engineering, October 12-17, 2008, Beijing, China",https://www.iitk.ac.in/nicee/wcee/article/14_05-05-0071.PDF,45.505,-73.614
Tremblay_RHS10,Tremblay et al.,RHS 10,2008,Rectangular HSS,254x254x9.5,8490,254,254,9.5,na,81700000,81700000,99.6,99.6,751000,751000,129000000,SB,35,6140,5140,A500 Gr. C,200000,345,420,505,Gusset plate,638,315,735,733,520,735,520,na,25,638,315,735,733,520,730,520,na,25,A572 Gr.50,345,nr,nr,Fillet,500,14,na,na,na,na,12.7x195x600,Symmetric Cyclic,3720,3565.8,2730,56,0.8,0.63,0.7,43.15,"Tremblay, R., Haddad, M., Martinez, G., Richard, J., & Moffatt, K. (2008). Inelastic Cyclic Testing of Large Size Steel Bracing Members, Proceedings, the 14th World Conference on Earthquake Engineering, October 12-17, 2008, Beijing, China",https://www.iitk.ac.in/nicee/wcee/article/14_05-05-0071.PDF,45.505,-73.614
Tremblay_RHS12,Tremblay et al.,RHS 12,2008,Rectangular HSS,254x254x9.5,8490,254,254,9.5,na,81700000,81700000,99.6,99.6,751000,751000,129000000,SB,35,4372,3372,A500 Gr. C,200000,345,429,506,Gusset plate,636,315,734,733,528,733,526,na,27,637,320,731,733,520,734,525,na,28,A572 Gr.50,345,nr,nr,Fillet,500,14,na,na,na,na, 12.7x195x600,Symmetric Cyclic,3820,3642.2,3160,40,0.6,0.45,0.7,30.73,"Tremblay, R., Haddad, M., Martinez, G., Richard, J., & Moffatt, K. (2008). Inelastic Cyclic Testing of Large Size Steel Bracing Members, Proceedings, the 14th World Conference on Earthquake Engineering, October 12-17, 2008, Beijing, China",https://www.iitk.ac.in/nicee/wcee/article/14_05-05-0071.PDF,45.505,-73.614
Tremblay_RHS13,Tremblay et al.,RHS 13,2008,Rectangular HSS,254x254x8,7150,254,254,8,na,69700000,69700000,100,100,638000,638000,109000000,SB,35,4400,3380,A500 Gr. C,200000,345,342,437,Gusset plate,588,314,687,691,526,689,528,na,22.6,588,314,686,691,526,688,527,na,23.4,A572 Gr.50,345,nr,nr,Fillet,510,12,na,na,na,na, 9.5x204x630,Symmetric Cyclic,2660,2445.3,2310,40,0.5,0.41,0.7,30.8,"Tremblay, R., Haddad, M., Martinez, G., Richard, J., & Moffatt, K. (2008). Inelastic Cyclic Testing of Large Size Steel Bracing Members, Proceedings, the 14th World Conference on Earthquake Engineering, October 12-17, 2008, Beijing, China",https://www.iitk.ac.in/nicee/wcee/article/14_05-05-0071.PDF,45.505,-73.614
Tremblay_RHS14,Tremblay et al.,RHS 14,2008,Rectangular HSS,254x254x8,7150,254,254,8,na,69700000,69700000,100,100,638000,638000,109000000,SB,35,4840,3820,A500 Gr. C,200000,345,342,437,Gusset plate,590,317,690,691,528,695,525,na,22.7,589,316,691,691,529,692,529,na,22.8,A572 Gr.50,345,nr,nr,Fillet,510,12,na,na,na,na,9.5x204x630,Symmetric Cyclic,2740,2445.3,2340,40,0.5,0.45,0.7,33.88,"Tremblay, R., Haddad, M., Martinez, G., Richard, J., & Moffatt, K. (2008). Inelastic Cyclic Testing of Large Size Steel Bracing Members, Proceedings, the 14th World Conference on Earthquake Engineering, October 12-17, 2008, Beijing, China",https://www.iitk.ac.in/nicee/wcee/article/14_05-05-0071.PDF,45.505,-73.614
Tremblay_RHS19,Tremblay et al.,RHS 19,2008,Rectangular HSS,152X152X9.5,4890,152,152,9.5,na,16000000,16000000,58.1,58.1,252000,252000,26200000,SB,35,3867,3867,A500 Gr. C,200000,345,397,nr,Gusset plate,nr,nr,nr,nr,nr,nr,nr,na,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,A572 Gr.50,345,nr,nr,nr,nr,nr,nr,na,na,na,nr,Symmetric Cyclic,2169.4,1941.3,1355,60,0.9,0.94,1,66.56,"Tremblay, R., Haddad, M., Martinez, G., Richard, J., & Moffatt, K. (2008). Inelastic Cyclic Testing of Large Size Steel Bracing Members, Proceedings, the 14th World Conference on Earthquake Engineering, October 12-17, 2008, Beijing, China",https://www.iitk.ac.in/nicee/wcee/article/14_05-05-0071.PDF,45.505,-73.614
Tremblay_CHS1,Tremblay et al.,CHS 1,2008,Circular HSS,273x9.5,7385,273,na,9.5,na,68342284.39,68342284.39,96198.76,96.2,659892.17,659892.17,136684568.8,SB,35,5618,4154,A500 Gr. C,200000,345,317,427,Gusset plate,nr,nr,nr,nr,nr,nr,nr,na,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,A572 Gr.50,345,nr,nr,nr,nr,nr,nr,na,na,na,nr,Symmetric Cyclic,2380.9,2341,1705.3,40,0.5,0.52,0.7,40.88,"Tremblay, R., Haddad, M., Martinez, G., Richard, J., & Moffatt, K. (2008). Inelastic Cyclic Testing of Large Size Steel Bracing Members, Proceedings, the 14th World Conference on Earthquake Engineering, October 12-17, 2008, Beijing, China",https://www.iitk.ac.in/nicee/wcee/article/14_05-05-0071.PDF,45.505,-73.614
Tremblay_CHS2,Tremblay et al.,CHS 2,2008,Circular HSS,273x9.5,7385,273,na,9.5,na,68342284.39,68342284.39,96198.76,96.2,659892.17,659892.17,136684568.8,SB,35,7695,6230,A500 Gr. C,200000,345,317,427,Gusset plate,nr,nr,nr,nr,nr,nr,nr,na,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,A572 Gr.50,345,nr,nr,nr,nr,nr,nr,na,na,na,nr,Symmetric Cyclic,2428.2,2341,1433.7,60,0.8,0.71,0.7,55.99,"Tremblay, R., Haddad, M., Martinez, G., Richard, J., & Moffatt, K. (2008). Inelastic Cyclic Testing of Large Size Steel Bracing Members, Proceedings, the 14th World Conference on Earthquake Engineering, October 12-17, 2008, Beijing, China",https://www.iitk.ac.in/nicee/wcee/article/14_05-05-0071.PDF,45.505,-73.614
Tremblay_W1,Tremblay et al.,W1,2008,I-shaped,W360x134,17100,356,369,18,11.2,415000000,151000000,156,94,2560000,1240000,1680000,SB,35,5758,4178,A992 Gr. 50,200000,345,360,481,Gusset plate,648,545,778,772,286,777,292,na,44.8,645,5332,778,772,315,778,310,na,44.7,A572 Gr.50,345,nr,nr,Fillet,300,20,na,na,na,na, 420x270x19 & 32x430x980,Symmetric Cyclic,6430,6156,6000,40,0.5,0.83,1,61.26,"Tremblay, R., Haddad, M., Martinez, G., Richard, J., & Moffatt, K. (2008). Inelastic Cyclic Testing of Large Size Steel Bracing Members, Proceedings, the 14th World Conference on Earthquake Engineering, October 12-17, 2008, Beijing, China",https://www.iitk.ac.in/nicee/wcee/article/14_05-05-0071.PDF,45.505,-73.614
Tremblay_W4,Tremblay et al.,W4,2008,I-shaped,W310x97,12300,308,305,15.4,9.9,222000000,72900000,134,76.9,1590000,725000,912000,SB,35,6746,5120,A992 Gr. 50,200000,345,377,505,Gusset plate,700,459,287,782,271,786,270,na,32.49,699,457,791,782,269,785,274,na,32.31,A572 Gr.50,345,nr,nr,Fillet,250,20,na,na,na,na, 420x227x19 &  25x370x820,Symmetric Cyclic,4760,4637.1,3900,60,0.8,1.21,1,87.72,"Tremblay, R., Haddad, M., Martinez, G., Richard, J., & Moffatt, K. (2008). Inelastic Cyclic Testing of Large Size Steel Bracing Members, Proceedings, the 14th World Conference on Earthquake Engineering, October 12-17, 2008, Beijing, China",https://www.iitk.ac.in/nicee/wcee/article/14_05-05-0071.PDF,45.505,-73.614
Tremblay_W6,Tremblay et al.,W6,2008,I-shaped,W250x115,14600,269,259,22.1,13.5,189000000,64100000,114,66.2,1600000,753000,2130000,SB,35,5981,4413,A992 Gr. 50,200000,345,nr,nr,Gusset plate,nr,nr,nr,nr,nr,nr,nr,na,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,A572 Gr.50,345,nr,nr,nr,nr,nr,nr,na,na,na,nr,Symmetric Cyclic,1957.5,#VALUE!,1622.3,60,#VALUE!,#VALUE!,1,90.35,"Tremblay, R., Haddad, M., Martinez, G., Richard, J., & Moffatt, K. (2008). Inelastic Cyclic Testing of Large Size Steel Bracing Members, Proceedings, the 14th World Conference on Earthquake Engineering, October 12-17, 2008, Beijing, China",https://www.iitk.ac.in/nicee/wcee/article/14_05-05-0071.PDF,45.505,-73.614
Broderick_CyIS1-40H,"Broderick, Goggins & Elghazouli",CyIS1-40H,2005,Rectangular HSS,40x40x2.5,359,40,40,2.5,na,82200,82200,15.1,15.1,4110,4110,136000,SB,45,1100,1100,cold-formed S235JRH,200000,235,280,314,Fixed-fixed end,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,125,5,na,na,na,na,na,Symmetric Cyclic,112.9,100.4,114.8,33.6,0.4,0.43,0.5,36.42,"Broderick, B., Goggins, J., & Elghazouli, A. (2005). Cyclic performance of steel and composite bracing members. Journal of Constructional Steel Research, 61(4), 493-514.",https://www.sciencedirect.com/science/article/pii/S0143974X04001403,53.343792,-6.254572
Broderick_CyIS4-20H,"Broderick, Goggins & Elghazouli",CyIS4-20H,2005,Rectangular HSS,20x20x2.0,134,20,20,2,na,6920,6920,7.2,7.2,692,692,12100,SB,45,1100,1100,cold-formed S235JRH,200000,235,222,343,Fixed-fixed end,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,125,5,na,na,na,na,na,Symmetric Cyclic,46,29.8,24.9,75.4,0.8,0.81,0.5,76.39,"Broderick, B., Goggins, J., & Elghazouli, A. (2005). Cyclic performance of steel and composite bracing members. Journal of Constructional Steel Research, 61(4), 493-514.",https://www.sciencedirect.com/science/article/pii/S0143974X04001403,53.343792,-6.254572
Broderick_CyIS5-50H,"Broderick, Goggins & Elghazouli",CyIS5-50H,2005,Rectangular HSS,50x25x2.5,350,50,25,2.5,na,98900,98900,17.4,9.94,3950,2620,84300,SB,45,1100,1100,cold-formed S235JRH,200000,235,223,330,Fixed-fixed end,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,125,5,na,na,na,na,na,Symmetric Cyclic,11.5,78.1,69,56.4,0.6,0.59,0.5,55.33,"Broderick, B., Goggins, J., & Elghazouli, A. (2005). Cyclic performance of steel and composite bracing members. Journal of Constructional Steel Research, 61(4), 493-514.",https://www.sciencedirect.com/science/article/pii/S0143974X04001403,53.343792,-6.254572
Broderick_CyLS1-40H,"Broderick, Goggins & Elghazouli",CyLS1-40H,2005,Rectangular HSS,40x40x2.5,359,40,40,2.5,na,82200,82200,15.1,15.1,4110,4110,136000,SB,45,3300,3300,cold-formed S235JRH,200000,235,343,401,Fixed-fixed end,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,125,5,na,na,na,na,na,Symmetric Cyclic,123.1,123.1,5.8,98.6,1.3,1.44,0.5,109.27,"Broderick, B., Goggins, J., & Elghazouli, A. (2005). Cyclic performance of steel and composite bracing members. Journal of Constructional Steel Research, 61(4), 493-514.",https://www.sciencedirect.com/science/article/pii/S0143974X04001403,53.343792,-6.254572
Broderick_CyLS2-40H,"Broderick, Goggins & Elghazouli",CyLS2-40H,2005,Rectangular HSS,40x40x2.5,359,40,40,2.5,na,82200,82200,15.1,15.1,4110,4110,136000,SB,45,3300,3300,cold-formed S235JRH,200000,235,346,401,Fixed-fixed end,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,125,5,na,na,na,na,na,Symmetric Cyclic,124.1,124.1,53.5,98.2,1.3,1.45,0.5,109.27,"Broderick, B., Goggins, J., & Elghazouli, A. (2005). Cyclic performance of steel and composite bracing members. Journal of Constructional Steel Research, 61(4), 493-514.",https://www.sciencedirect.com/science/article/pii/S0143974X04001403,53.343792,-6.254572
Broderick_CyLS3-40H,"Broderick, Goggins & Elghazouli",CyLS3-40H,2005,Rectangular HSS,40x40x2.5,359,40,40,2.5,na,82200,82200,15.1,15.1,4110,4110,136000,SB,45,3300,3300,cold-formed S235JRH,200000,235,352,397,Fixed-fixed end,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,125,5,na,na,na,na,na,Symmetric Cyclic,126.5,126.5,50.2,97.3,1.3,1.46,0.5,109.27,"Broderick, B., Goggins, J., & Elghazouli, A. (2005). Cyclic performance of steel and composite bracing members. Journal of Constructional Steel Research, 61(4), 493-514.",https://www.sciencedirect.com/science/article/pii/S0143974X04001403,53.343792,-6.254572
Broderick_CyLS4-20H,"Broderick, Goggins & Elghazouli",CyLS4-20H,2005,Rectangular HSS,20x20x2.0,134,20,20,2,na,6920,6920,7.2,7.2,692,692,12100,SB,45,3300,3300,cold-formed S235JRH,200000,235,471,524,Fixed-fixed end,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,125,5,na,na,na,na,na,Symmetric Cyclic,63.1,63.1,5.8,200,3.1,3.54,0.5,229.17,"Broderick, B., Goggins, J., & Elghazouli, A. (2005). Cyclic performance of steel and composite bracing members. Journal of Constructional Steel Research, 61(4), 493-514.",https://www.sciencedirect.com/science/article/pii/S0143974X04001403,53.343792,-6.254572
Broderick_CyLS5-20H,"Broderick, Goggins & Elghazouli",CyLS5-20H,2005,Rectangular HSS,20x20x2.0,134,20,20,2,na,6920,6920,7.2,7.2,692,692,12100,SB,45,3300,3300,cold-formed S235JRH,200000,235,481,517,Fixed-fixed end,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,125,5,na,na,na,na,na,Symmetric Cyclic,64.4,64.4,5.5,192.3,3,3.58,0.5,229.17,"Broderick, B., Goggins, J., & Elghazouli, A. (2005). Cyclic performance of steel and composite bracing members. Journal of Constructional Steel Research, 61(4), 493-514.",https://www.sciencedirect.com/science/article/pii/S0143974X04001403,53.343792,-6.254572
Broderick_CyLS6-20H,"Broderick, Goggins & Elghazouli",CyLS6-20H,2005,Rectangular HSS,20x20x2.0,134,20,20,2,na,6920,6920,7.2,7.2,692,692,12100,SB,45,3300,3300,cold-formed S235JRH,200000,235,475,540,Fixed-fixed end,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,125,5,na,na,na,na,na,Symmetric Cyclic,63.6,63.6,5.8,193.5,3,3.55,0.5,229.17,"Broderick, B., Goggins, J., & Elghazouli, A. (2005). Cyclic performance of steel and composite bracing members. Journal of Constructional Steel Research, 61(4), 493-514.",https://www.sciencedirect.com/science/article/pii/S0143974X04001403,53.343792,-6.254572
Broderick_CyLS7-50H,"Broderick, Goggins & Elghazouli",CyLS7-50H,2005,Rectangular HSS,50x25x2.5,334,50,25,2.5,na,98900,98900,17.4,9.94,3950,2620,84300,SB,45,3300,3300,cold-formed S235JRH,200000,235,298,nr,Fixed-fixed end,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,125,5,na,na,na,na,na,Symmetric Cyclic,99.4,99.4,19.1,154.7,1.9,2.04,0.5,166,"Broderick, B., Goggins, J., & Elghazouli, A. (2005). Cyclic performance of steel and composite bracing members. Journal of Constructional Steel Research, 61(4), 493-514.",https://www.sciencedirect.com/science/article/pii/S0143974X04001403,53.343792,-6.254572
Broderick_CyLS8-50H,"Broderick, Goggins & Elghazouli",CyLS8-50H,2005,Rectangular HSS,50x25x2.5,334,50,25,2.5,na,98900,98900,17.4,9.94,3950,2620,84300,SB,45,3300,3300,cold-formed S235JRH,200000,235,487,nr,Fixed-fixed end,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,125,5,na,na,na,na,na,Symmetric Cyclic,162.6,162.6,17.5,133.7,2.1,2.61,0.5,166,"Broderick, B., Goggins, J., & Elghazouli, A. (2005). Cyclic performance of steel and composite bracing members. Journal of Constructional Steel Research, 61(4), 493-514.",https://www.sciencedirect.com/science/article/pii/S0143974X04001403,53.343792,-6.254572
Broderick_CyLS9-50H,"Broderick, Goggins & Elghazouli",CyLS9-50H,2005,Rectangular HSS,50x25x2.5,334,50,25,2.5,na,98900,98900,17.4,9.94,3950,2620,84300,SB,45,3300,3300,cold-formed S235JRH,200000,235,495,nr,Fixed-fixed end,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,125,0,nr,nr,nr,nr,nr,nr,nr,nr,nr,Fillet,125,5,na,na,na,na,na,Symmetric Cyclic,165.4,165.4,14.7,132.6,2.1,2.63,0.5,166,"Broderick, B., Goggins, J., & Elghazouli, A. (2005). Cyclic performance of steel and composite bracing members. Journal of Constructional Steel Research, 61(4), 493-514.",https://www.sciencedirect.com/science/article/pii/S0143974X04001403,53.343792,-6.254572
