panel zone shear distortion (rad),panel zone shaer force (kN)
-0.007541575,808.5702528
-0.006707211,1012.675365
-0.005654958,1185.379691
-0.003676341,1405.185197
-0.00181514,1570.039326
0.000226083,1672.091882
0.002538175,1829.095815
0.005423388,1931.148371
0.008429835,2048.90132
0.011442925,2150.953876
0.013024785,2190.204859
0.015281072,2237.306039
0.016662146,2237.306039
0.017592329,2245.156236
0.01767005,2182.354663
0.017293219,1954.698961
0.016810428,1554.338933
0.016013412,808.5702528
0.015417023,314.0078652
0.014877433,-133.4533427
0.014418228,-408.2102247
0.013876649,-730.0682865
0.013132296,-965.5741854
0.012144479,-1169.679298
0.010572245,-1413.035393
0.008976266,-1570.039326
0.007760099,-1687.792275
0.005294555,-1844.796208
0.00272289,-1962.549157
-8.87056E-06,-2064.601713
-0.002395859,-2135.253483
-0.005271606,-2229.455843
-0.008362416,-2268.706826
-0.010672679,-2339.358595
-0.012446851,-2347.208792
-0.012929961,-2323.658202
-0.012555119,-1970.399354
-0.011943615,-1420.88559
-0.011502508,-1012.675365
-0.011030178,-557.3639607
-0.010750836,-431.7608146
-0.010543568,-196.2549157
-0.010174374,109.9027528
-0.009699061,376.8094382
-0.009229395,596.6149438
-0.008720869,785.0196629
-0.008122332,942.0235955
-0.007427141,1051.926348
-0.006910979,1161.829101
-0.006627819,1248.181264
-0.005616256,1365.934213
-0.004732571,1483.687163
-0.003666039,1562.189129
-0.001638101,1695.642472
0.000191876,1813.395421
0.001865576,1907.597781
0.004083004,1986.099747
0.009512476,2119.55309
0.012529385,2182.354663
0.014847284,2174.504466
0.016515336,2221.605646
0.017911525,2276.557022
0.017974131,2158.804073
0.017668379,1884.047191
0.017144898,1428.735786
0.016520109,910.622809
0.015894325,455.3114045
0.015227852,-54.9513764
0.014861483,-337.558455
0.014226074,-588.7647472
0.013608604,-761.469073
0.012962734,-957.7239887
0.011171777,-1318.833034
0.008312298,-1632.840899
0.005770027,-1789.844831
0.002473778,-1978.249551
-0.000609396,-2096.0025
-0.003309933,-2150.953876
-0.006847817,-2221.605646
-0.011958094,-2323.658202
-0.013332525,-2339.358595
-0.014674739,-2370.759382
-0.015320768,-2355.058989
-0.01504441,-2041.051124
-0.014003095,-1177.529494
-0.013283641,-580.9145505
-0.012885054,-314.0078652
-0.012512042,-47.10117977
-0.012147502,149.153736
-0.011974281,314.0078652
-0.0115463,541.6635674
-0.011133434,714.3678932
-0.010563296,847.8212359
-0.010130502,973.424382
-0.009567007,1122.578118
-0.008412452,1295.282444
-0.007340272,1420.88559
-0.005945078,1538.638539
-0.004885188,1632.840899
-0.003153695,1711.342865
-0.00115698,1797.695028
0.001121064,1884.047191
0.005693262,2048.90132
0.009764412,2158.804073
0.014315848,2221.605646
0.016285157,2221.605646
0.01750896,2260.856629
0.018190031,2253.006433
0.018622984,2166.65427
0.018762316,2048.90132
0.01823784,1656.391489
0.017973773,1373.78441
0.017543962,1059.776545
0.017231567,800.7200562
0.01690024,525.9631741
0.016543337,251.2062921
0.016208191,15.70039326
0.015777386,-235.5058989
0.015416665,-471.0117977
0.014905315,-682.9671067
0.014160962,-918.4730056
0.013578534,-1083.327135
0.01278486,-1232.480871
0.011588621,-1397.335
0.010462466,-1546.488736
0.009293632,-1624.990702
0.007773384,-1719.193062
0.005508625,-1836.946011
0.003355633,-1946.848764
-0.00160302,-2135.253483
-0.008382344,-2221.605646
-0.009159074,-2229.455843
-0.00911556,-2150.953876
-0.00883057,-1978.249551
-0.00858643,-1648.541292
-0.008293128,-1193.229888
-0.007960806,-981.2745786
-0.007820797,-737.9184831
-0.007699721,-510.2627809
-0.007508562,-266.9066854
-0.007166773,-47.10117977
-0.006920644,157.0039326
-0.006575038,337.558455
-0.006252182,541.6635674
-0.005995593,690.8173034
-0.005499357,847.8212359
-0.005073206,989.1247753
-0.004346792,1146.128708
-0.003721685,1240.331067
-0.00288915,1358.084017
-0.002012107,1491.53736
-0.000795941,1609.290309
0.001366517,1727.043258
0.004918521,1915.447977
0.005960472,1931.148371
0.006525956,1954.698961
0.006118738,1829.095815
0.005737095,1703.492668
0.005631133,1530.788343
0.005348133,1232.480871
0.005249808,981.2745786
0.005035897,761.469073
0.004707394,510.2627809
0.004411108,243.3560955
0.004565556,180.5545225
0.004249343,-39.25098314
0.003984281,-259.0564888
0.003871677,-416.0604213
0.003637839,-588.7647472
0.003397358,-745.7686798
0.002949449,-926.3232022
0.00277241,-1051.926348
0.0022222,-1232.480871
0.001495785,-1389.484803
0.000714402,-1507.237753
9.87613E-05,-1593.589916
-0.000628647,-1687.792275
-0.001187489,-1727.043258
-0.00116955,-1648.541292
-0.001031371,-1491.53736
-0.000804175,-1303.13264
-0.000496435,-1153.978904
-0.000189688,-942.0235955
3.75078E-05,-753.6188764
0.000366011,-502.4125843
0.000621607,-290.4572753
0.00090942,-94.20235955
0.000945297,62.80157303
0.000981174,219.8055056
0.001265169,455.3114045
0.001463966,620.1655337
0.002026467,832.1208427
0.002372073,1012.675365
0.002679814,1161.829101
0.00300084,1279.582051
0.003216739,1373.78441
0.003451572,1483.687163
0.003594564,1538.638539
0.003513184,1428.735786
0.003263237,1263.881657
0.003086197,1138.278511
0.002817317,957.7239887
0.002681962,824.270646
0.002677308,714.3678932
0.002573177,628.0157303
0.002475688,525.9631741
0.002286358,368.9592416
0.00213207,219.8055056
0.002094363,-23.55058989
0.002094522,-235.5058989
0.001971457,-337.558455
0.001763194,-510.2627809
0.001548289,-667.2667135
0.00127559,-808.5702528
0.001107023,-863.5216292
0.00108992,-792.8698595
0.001194051,-706.5176966
0.001288716,-628.0157303
0.00131994,-580.9145505
0.001341697,-541.6635674
0.001487512,-463.1616011
0.001563244,-400.3600281
0.001657909,-321.8580618
0.001685315,-235.5058989
0.00177998,-157.0039326
0.001884111,-70.65176966
0.001997709,23.55058989
0.002150167,86.35216292
0.00238317,109.9027528
