panel zone shear distortion* (rad),panel zone shear force (kN)
0.007410945,-1004.852857
0.005746158,-1539.904379
0.003185543,-2166.30616
2.38304E-05,-2518.657162
-0.003917923,-2818.808016
-0.008207593,-3040.658647
-0.012578979,-3236.409203
-0.017245651,-3288.609352
-0.019743665,-3327.759463
-0.020120667,-3158.108981
-0.019489102,-2375.106754
-0.01746754,-378.4510762
-0.015184763,1305.003711
-0.013111951,2218.506309
-0.010472113,2688.307645
-0.007515936,3040.658647
-0.003297456,3301.659389
0.000396657,3549.610094
0.004388549,3784.510762
0.00990091,3993.311356
0.013408047,4136.861764
0.016224892,4189.061912
0.017869182,4189.061912
0.017948406,4032.461467
0.018186076,3562.660131
0.017512407,2727.457756
0.01751047,2088.005938
0.016699962,1083.15308
0.015510515,-391.5011133
0.014533527,-965.7027462
0.01325876,-1526.854342
0.011401456,-1918.355455
0.00903031,-2309.856569
0.005333704,-2688.307645
0.00310189,-2779.657904
-0.000499981,-3040.658647
-0.006618426,-3236.409203
-0.011029423,-3353.859537
-0.014976718,-3406.059686
-0.017361438,-3432.15976
-0.017801596,-3340.8095
-0.018737036,-3353.859537
-0.018324582,-2205.456272
-0.016376146,-809.1023008
-0.015818264,-117.450334
-0.015010249,756.9021524
-0.013664292,1278.903637
-0.012213075,1931.405492
-0.011198968,2296.806531
-0.009436397,2570.857311
-0.007787122,2831.858053
-0.005613479,3105.908832
-0.003049815,3353.859537
-0.001208022,3471.309871
0.003843129,3745.360651
0.008399,3915.011133
0.012625513,4058.561541
0.015494988,4176.011875
0.017858656,4176.011875
0.017998543,3967.211282
0.018252281,3262.509278
0.01734953,2270.706457
0.016199695,717.7520411
0.015565638,-195.7505567
0.014235749,-952.6527091
0.012339388,-1774.805047
0.009854948,-2179.356197
0.006906805,-2649.157533
0.00343928,-2871.008164
-0.001928209,-3027.60861
-0.007975464,-3262.509278
-0.014668413,-3406.059686
-0.017690795,-3458.259834
-0.018072782,-3549.610094
-0.020602374,-3627.910317
-0.022987094,-3654.010391
-0.024320588,-3523.51002
-0.023736112,-3053.708684
-0.023707582,-2636.107496
-0.023476009,-2349.00668
-0.023233909,-2048.855826
-0.023052473,-1696.504824
-0.022768269,-1344.153822
-0.022452487,-952.6527091
-0.0220946,-508.9514473
-0.021562755,-104.4002969
-0.021236447,300.1508535
-0.020931191,678.6019297
-0.020565271,1004.852857
-0.020188824,1344.153822
-0.01939078,1696.504824
-0.018706029,2035.805789
-0.018424317,2257.65642
-0.017423229,2479.507051
-0.01603212,2675.257608
-0.015083661,2831.858053
-0.013086469,3014.558572
-0.010873215,3210.309129
-0.007774659,3484.359908
-0.002446781,3719.260576
0.002860045,3928.06117
0.00922613,4176.011875
0.015157598,4267.362135
0.020606804,4397.862506
0.023731953,4450.062655
0.024965171,4450.062655
0.025916677,4228.212024
0.025127222,3249.45924
0.024641641,1500.754268
0.023736398,378.4510762
0.022756917,-326.2509278
0.021706247,-991.8028204
0.020141735,-1657.354713
0.017552034,-2192.406235
0.013947671,-2583.907348
0.010622526,-2884.058201
0.005789929,-3014.558572
-0.00068945,-3275.559315
-0.007485168,-3419.109723
-0.013798623,-3601.810242
-0.018362527,-3654.010391
-0.022884326,-3654.010391
-0.024209786,-3640.960354
-0.025427493,-3366.909574
-0.025132762,-3001.508535
-0.024848558,-2649.157533
-0.024585406,-2322.906606
-0.024598981,-1957.505567
-0.024072677,-1305.003711
-0.023899274,-835.2023751
-0.023362445,-169.6504824
-0.022385456,404.5511504
-0.021719265,848.2524122
-0.02016528,1500.754268
-0.018294956,2035.805789
-0.01562354,2544.757237
-0.013273446,2910.158276
-0.010143312,3223.359166
-0.007374112,3471.309871
-0.001859257,3810.610836
0.007631977,4110.76169
0.01252773,4319.562284
0.016783329,4371.762432
0.020875496,4476.162729
0.023465753,4502.262803
0.025202285,4489.212766
0.025508097,4358.712395
0.025585939,3053.708684
0.024670171,1918.355455
0.023485709,704.702004
0.022137816,-456.7512989
0.020702665,-1344.153822
