panel zone shear distortion (rad),panel zone shear force (kN)
-0.018837209,-764.227824
-0.023784355,-789.3796258
-0.026575053,-808.7271657
-0.027589852,-808.7271657
-0.027336152,-692.6419266
-0.025813953,-388.885551
-0.02435518,-164.4540887
-0.02359408,-29.02130977
-0.021881607,90.93343729
-0.021183932,177.9973666
-0.019408034,270.8655579
-0.017378436,348.2557173
-0.015919662,398.5593209
-0.014207188,444.9934165
-0.012114165,483.6884962
-0.009894292,506.905544
-0.007547569,545.6006237
-0.004376321,592.0347194
-2.54E-04,642.338323
0.003742072,677.1638947
0.007928118,706.1852045
0.01230444,737.1412683
0.016109937,773.901594
0.019027484,793.2491338
0.022579281,804.8576577
0.02448203,814.5314277
0.026701903,826.1399516
0.028097252,831.9442135
0.029238901,835.8137215
0.029556025,808.7271657
0.028921776,615.2517672
0.026384778,177.9973666
0.023657505,-129.628517
0.021881607,-228.3009702
0.019661734,-309.5606376
0.01756871,-390.820305
0.015031712,-439.1891546
0.012241015,-497.2317741
0.008118393,-561.0786556
0.003932347,-595.9042274
-9.51E-04,-648.1425849
-0.004756871,-677.1638947
-0.01141649,-737.1412683
-0.018646934,-777.7711019
-0.025560254,-806.7924117
-0.03012685,-822.2704436
-0.033234672,-831.9442135
-0.035454545,-833.8789675
-0.036596195,-835.8137215
-0.03627907,-715.8589744
-0.034820296,-508.840298
-0.033298097,-270.8655579
-0.031839323,-65.78163549
-0.030443975,81.25966737
-0.029112051,174.1278586
-0.027716702,251.518018
-0.026004228,321.1691615
-0.02448203,379.211781
-0.022896406,419.8416147
-0.019788584,483.6884962
-0.016553911,533.9920998
-0.013382664,576.5566875
-0.009640592,619.1212752
-0.00615222,659.7511089
-0.002473573,682.9681567
2.54E-04,706.1852045
0.002600423,727.4674983
0.004947146,744.8802842
0.007167019,750.6845461
0.010211416,768.097332
0.013319239,783.5753639
0.01845666,816.4661816
0.021627907,826.1399516
0.02384778,837.7484755
0.026194503,847.4222454
0.027526427,847.4222454
0.028160677,847.4222454
0.027970402,758.4235621
0.027082452,605.5779973
0.026194503,439.1891546
0.025560254,280.5393278
0.024608879,116.0852391
0.023213531,-7.73901594
0.022198732,-129.628517
0.020803383,-218.6272003
0.019027484,-301.8216216
0.016300211,-373.4075191
0.013192389,-454.6671865
0.010591966,-504.9707901
0.007167019,-555.2743937
0.004503171,-592.0347194
0.002283298,-619.1212752
-0.001078224,-657.8163549
-0.004376321,-663.6206168
-0.030317125,-822.2704436
-0.034693446,-828.0747055
-0.036976744,-835.8137215
-0.037610994,-831.9442135
-0.037103594,-690.7071726
-0.035391121,-377.2770271
-0.033234672,-85.12917534
-0.032156448,50.30360361
-0.0305074,168.3235967
-0.028794926,261.191788
-0.027209302,325.0386695
-0.026067653,352.1252253
-0.02422833,354.0599792
-0.022262156,377.2770271
-0.021501057,388.885551
-0.020232558,427.5806307
-0.018393235,464.3409564
-0.016807611,487.5580042
-0.014904863,522.3835759
-0.01179704,572.6871795
-0.009513742,592.0347194
-0.007040169,611.3822592
-0.004376321,650.0773389
-0.001585624,659.7511089
0.001775899,682.9681567
0.00577167,721.6632364
0.008879493,737.1412683
0.01205074,750.6845461
0.021120507,799.0533958
0.026575053,828.0747055
0.029809725,828.0747055
0.032093023,841.6179834
0.034249471,841.6179834
0.036976744,843.5527374
0.039196617,845.4874914
0.040465116,851.2917534
0.040909091,845.4874914
0.040718816,764.227824
0.039704017,644.273077
0.039006342,559.1439016
0.038562368,503.0360361
0.038054968,361.7989952
0.037864693,276.6698198
0.036849894,210.8881844
0.036849894,150.9108108
0.036469345,112.2157311
0.035961945,81.25966737
0.03589852,38.6950797
0.03564482,9.673769925
