panel zone shear distortion (rad),panel zone shear force (kN)
-0.000119778,-190.231297
-0.000146266,-217.688208
-0.000154359,-240.6962059
-0.00018195,-271.5233245
-0.000194827,-303.0371317
-0.000220945,-332.0308608
-0.00023934,-359.6398841
-0.000263984,-393.0931188
-0.000283484,-423.8883094
-0.000301876,-451.1145146
-0.000325792,-481.684112
-0.000341976,-516.2186628
-0.000371041,-545.145193
-0.000386856,-576.2709177
-0.000420701,-603.4538122
-0.000432841,-639.3158174
-0.000465216,-672.8360006
-0.000482506,-701.8301874
-0.000516348,-728.0758242
-0.000534377,-765.0145098
-0.000563805,-799.0241999
-0.00058588,-825.3659259
-0.000612733,-858.2240883
-0.000641798,-890.821766
-0.000664604,-922.5312593
-0.000696979,-954.6088652
-0.000716842,-986.0379911
-0.00075216,-1019.664293
-0.000769816,-1049.882414
-0.000805501,-1083.201027
-0.00082132,-1115.206178
-0.000859577,-1149.06818
-0.000879442,-1176.33295
-0.000913654,-1212.209619
-0.000934257,-1244.557244
-0.000965157,-1275.223031
-0.000989809,-1306.346351
-0.001016292,-1338.310904
-0.001044621,-1370.647119
-0.001043883,-1376.29887
-0.001051611,-1375.964048
-0.001043516,-1375.378522
-0.001051979,-1373.940473
-0.001042412,-1372.341051
-0.00105345,-1371.252159
-0.001042413,-1370.300504
-0.001050873,-1369.650088
-0.001042414,-1368.961204
-0.001050137,-1368.130181
-0.001043886,-1363.721225
-0.001033947,-1334.09452
-0.00101077,-1298.941455
-0.000980968,-1264.919179
-0.000957794,-1230.027355
-0.000925416,-1191.4363
-0.000902977,-1157.532653
-0.000866189,-1123.839223
-0.000847795,-1090.91584
-0.000808431,-1062.16221
-0.000792612,-1024.563827
-0.000756928,-989.1284011
-0.000738164,-959.7729707
-0.000702482,-926.3727302
-0.000682245,-895.3862108
-0.000652817,-857.0821898
-0.000627798,-824.7854049
-0.000600946,-797.0075826
-0.000570042,-763.6965685
-0.000550179,-726.6448794
-0.000517803,-697.5618167
-0.000500515,-662.2853043
-0.000463726,-634.6471174
-0.000450483,-596.1356399
-0.000415165,-568.3604233
-0.00039861,-537.4031234
-0.00036587,-500.6981576
-0.000350785,-473.585097
-0.000320989,-438.639006
-0.000302961,-411.0471356
-0.00027942,-375.1368334
-0.00025808,-348.1539999
-0.00023785,-317.7074353
-0.000210256,-283.4167046
-0.000196279,-253.6155089
-0.000168686,-224.1993216
-0.00015802,-190.8338131
-0.000129324,-164.5089532
-0.000119392,-134.7150117
-9.36E-05,-101.792673
-8.89E-05,-76.20756076
-6.68E-05,-53.58265767
-6.13E-05,-16.72930607
-4.58E-05,2.491113278
-3.33E-05,25.60226714
-2.37E-05,47.24374296
-2.01E-05,48.71730013
-2.30E-05,48.2716562
-1.71E-05,46.93470419
-2.45E-05,45.2629502
-1.68E-05,43.91882748
-2.60E-05,43.03240171
-1.60E-05,41.95330696
-2.71E-05,41.1536069
-1.60E-05,40.43572368
-2.56E-05,39.84075584
-1.82E-05,39.27709322
-2.34E-05,38.69418656
-2.04E-05,38.06303109
-2.19E-05,37.35002521
-2.19E-05,36.91642925
-1.93E-05,35.89990633
-2.52E-05,35.2061282
-1.86E-05,34.65451455
-2.67E-05,34.25220248
-1.68E-05,33.97280881
-2.82E-05,33.55126592
-1.75E-05,33.04299632
-2.74E-05,33.01887395
-1.75E-05,32.73947723
-2.56E-05,32.38052851
-1.93E-05,32.08907671
-2.52E-05,31.89639959
-2.23E-05,31.63623572
-2.26E-05,31.28934717
-2.41E-05,31.11591002
-2.01E-05,31.27010823
-2.60E-05,30.93040049
-1.90E-05,30.65100479
-2.67E-05,30.47756051
-1.90E-05,30.44626648
-2.85E-05,30.4775656
-1.75E-05,30.37160604
-2.78E-05,30.46549628
-1.86E-05,30.29206014
-2.56E-05,30.07525658
-1.97E-05,29.87051928
-2.45E-05,29.90181434
-2.23E-05,30.04395644
-2.30E-05,29.90181536
-2.49E-05,30.00059715
-2.12E-05,29.72120146
-2.67E-05,29.5598265
-1.90E-05,29.77172935
-2.71E-05,29.43691623
-1.90E-05,29.41279385
-2.78E-05,29.49950633
-1.90E-05,29.48027348
-2.78E-05,29.22011266
-1.93E-05,29.33095464
-2.71E-05,29.3188965
-2.12E-05,29.43692335
-2.52E-05,29.18881559
-2.37E-05,29.35019257
-2.23E-05,29.22011674
-2.60E-05,29.14545731
-2.08E-05,29.27553823
-2.71E-05,29.39355186
-1.97E-05,29.36225274
-2.85E-05,29.23217996
-1.82E-05,29.39354779
-2.85E-05,29.11416226
-2.04E-05,29.1888166
-2.74E-05,29.31888837
-2.01E-05,29.07796141
-2.74E-05,28.92864967
-2.15E-05,29.00330605
-2.45E-05,28.99124283
-2.41E-05,29.0033091
-2.19E-05,28.99124689
-2.56E-05,28.90452425
-2.12E-05,29.10926154
-2.82E-05,29.00331215
-1.93E-05,29.07796547
-2.93E-05,29.03460618
-1.93E-05,29.14056269
-2.93E-05,29.19598317
