panel zone shear distortion (rad),panel zone shear force (kN)
-0.005337184,-1053.953228
-0.006186282,-1063.682027
-0.006024549,-1005.309233
-0.005296751,-749.1175254
-0.004205054,-330.7791671
-0.002830325,-6.485866021
-0.00226426,184.8617129
-0.00113213,363.1212219
0,472.0575884
0.00125343,637.1126893
0.002911191,769.1567699
0.004690253,838.4799123
0.006226715,884.6953405
0.007641877,937.5129728
0.00905704,944.1151768
0.009461372,944.1151768
0.009865704,897.8997486
0.008733574,498.4664045
0.007439711,36.31212219
0.006914079,-162.1466505
0.006226715,-285.3781049
0.005215884,-483.1970186
0.004811552,-567.5132768
0.004164621,-648.5866021
0.003477256,-726.4169944
0.00226426,-801.0044536
0.001051264,-849.6484488
-0.000444765,-930.721774
-0.003194224,-1018.280965
-0.005013718,-1066.92496
-0.006833213,-1086.382559
-0.007439711,-1086.382559
-0.007601444,-1044.224429
-0.00679278,-797.7615206
-0.005822383,-483.1970186
-0.004851986,-197.8189136
-0.004002888,19.8066121
-0.003234657,181.5606109
-0.00226426,340.0135077
-0.001212996,472.0575884
8.08664E-05,580.993955
0.001779061,686.6292195
0.004124188,808.7699941
0.006105415,891.2975446
0.007641877,940.8140748
0.008774007,977.126197
0.00994657,1000.233911
0.011361733,1023.341625
0.012291697,1023.341625
0.012696029,1016.739421
0.012655596,940.8140748
0.012372563,812.0710961
0.011806498,567.7895469
0.010755235,287.1958755
0.010350903,125.4418766
0.009420939,-129.7173204
0.009016606,-227.0053107
0.008167509,-366.4514302
0.006752347,-567.5132768
0.005498917,-710.2023293
0.00339639,-817.2191187
0.00125343,-930.721774
-0.00226426,-1018.280965
-0.006428881,-1131.783621
-0.008127076,-1180.427616
-0.009542238,-1193.399348
-0.009744404,-1183.670549
-0.009340072,-956.6652381
-0.008531408,-693.9876643
-0.00780361,-466.9823535
-0.006914079,-230.2482438
-0.006186282,-45.40106215
-0.00566065,112.2374686
-0.005054152,250.8837533
-0.004043321,412.6377521
-0.003072924,505.0686086
-0.001859928,580.993955
-0.000323466,676.7259135
0.001172563,742.7479538
0.003113357,835.1788103
0.005498917,887.9964425
0.007722744,950.7173809
0.010310469,1003.535013
0.01245343,1043.148237
0.013423827,1049.750441
0.014111191,1049.750441
0.014070758,934.2118708
0.013747292,818.6733002
0.012857762,561.1873429
0.011766065,237.6793452
0.010997834,9.903306051
0.009744404,-256.1917078
0.008652708,-428.0671574
0.007601444,-557.7844778
0.004811552,-768.5751235
0.003153791,-849.6484488
0.000444765,-950.1793721
-0.002466426,-1034.49563
-0.005135018,-1099.354291
-0.007439711,-1157.727085
-0.009259206,-1177.184683
-0.010229603,-1183.670549
-0.010391336,-1193.399348
-0.010270036,-1002.0663
-0.009420939,-736.1457934
-0.008288809,-428.0671574
-0.00667148,-22.70053107
-0.005377617,227.7760392
-0.003881588,432.4443642
-0.002749458,541.3807308
-0.001051264,643.7148933
0.000485199,742.7479538
0.002466426,821.9744022
0.005296751,887.9964425
0.00792491,954.0184829
0.0112,1036.546033
0.013383394,1056.352645
0.014394224,1069.557053
