,e_true,Sigma_true
4150,0.1415311,545.1884796
4199,0.1462144,544.9178881
4219,0.1481169,544.7441529
4293,0.1553471,543.9300361
4294,0.1554419,543.8878768
4296,0.1555969,540.4799941
4309,0.1556971,528.2234653
4321,0.1556677,525.346708
4331,0.1557212,523.681275
4338,0.1558442,522.8448386
4351,0.1557232,521.6906913
4367,0.1556904,520.4074481
4382,0.1558129,519.3947965
4396,0.1557095,518.7170777
4405,0.1557294,518.2654489
4413,0.1558832,517.9378182
4417,0.1557973,517.8533617
4433,0.155906,517.3966351
4438,0.1557343,517.034285
4446,0.1557771,516.7911108
4448,0.1557153,516.724014
4450,0.1557932,516.7066543
4462,0.1558525,515.9943538
4466,0.15594,515.9123772
4480,0.155837,515.5202675
4496,0.1559089,515.3242126
4499,0.1558293,509.8014725
4502,0.1553706,444.3319616
4505,0.155181,414.6017504
4513,0.155055,406.6070381
4521,0.1551153,407.0214675
4529,0.1550988,407.6345695
4555,0.1550562,405.88716
4560,0.1549415,404.7726921
4566,0.1550795,403.6210248
4575,0.1549343,400.337278
4596,0.155037,395.7702882
4604,0.1550299,395.0555077
4612,0.1549237,394.67566
4616,0.1549964,394.5789415
4620,0.1550481,394.730357
4630,0.1548618,394.9388117
4633,0.1549216,394.9908909
4635,0.1548809,395.0604676
4637,0.1549893,395.1869457
4640,0.1548654,395.1869457
4646,0.1549867,395.3185216
4663,0.154966,395.6312725
4679,0.1550245,395.4897768
4688,0.154946,395.4376976
4694,0.1550398,395.3880983
4710,0.1548998,395.1819858
4736,0.154998,395.1596661
4753,0.1549406,395.221803
4770,0.1550067,395.224283
4795,0.1548628,395.3234815
4799,0.1549883,395.3656409
4804,0.1547861,395.2043055
4825,0.1549754,395.3755607
4835,0.154835,395.2962019
4876,0.1549661,395.3980182
4891,0.1548106,395.4575373
4896,0.1548395,395.4476174
4897,0.1556854,500.7693091
4898,0.1560395,535.8857246
4900,0.1559231,513.4278675
4905,0.1558592,505.1476839
4916,0.1558878,504.2565505
4927,0.1560855,504.0778554
4943,0.1559849,503.7799843
4961,0.1560536,503.2612587
4973,0.1559684,502.9261881
4997,0.1560025,502.2362072
5007,0.1559077,501.9953753
5014,0.1561556,533.0833663
5016,0.1562835,541.2121343
5017,0.1563588,542.954584
5019,0.1565361,544.3396434
5022,0.1568016,544.9651452
5026,0.1571942,545.0593838
5044,0.1589882,544.5629778
5060,0.1607115,544.1956677
5062,0.1608411,544.1832679
5063,0.1607567,544.0541721
5064,0.1608027,544.1211311
5079,0.1626937,543.8357975
5152,0.17043,542.2695631
5217,0.1769986,540.6636492
5263,0.1819776,538.9286394
5283,0.1841645,537.9159878
5310,0.1871409,536.3224737
5328,0.1891903,535.0765678
5359,0.1927171,532.4330649
5363,0.1929487,532.0657548
5371,0.193973,531.1473418
5375,0.194273,530.7353923
5391,0.1961591,528.9631831
5404,0.1976689,527.3399095
5427,0.2002744,524.2148804
5441,0.2018168,522.0332017
5451,0.2028762,520.3975283
5465,0.2046071,518.0742162
5480,0.2061468,515.363892
5497,0.2081833,512.2613204
5516,0.2103184,508.3469742
5553,0.2144988,500.3373821
5572,0.2166376,495.7927119
5594,0.2190874,490.1732533
5597,0.2194696,489.513032
5633,0.2235514,479.3439432
5638,0.2240442,477.8249658
5666,0.2272789,469.1551525
5680,0.2288424,464.5956025
5681,0.2290559,464.2479944
5682,0.2290559,463.898044
5697,0.2307934,458.6410733
5702,0.2312489,456.9209433
5709,0.2321953,454.3370973
5723,0.2338177,449.0305273
5731,0.2346277,445.9005383
5739,0.235626,442.5994318
5745,0.2362061,440.2240405
5759,0.2379351,434.1306333
5791,0.2415711,419.2307393
5796,0.2421334,416.6941504
5800,0.2424951,414.6116702
5803,0.2429422,413.0578356
5806,0.2432159,411.5909374
5809,0.2436616,409.9180645
5815,0.2443544,406.5126618
5817,0.2445611,405.2418184
5818,0.2446782,404.2018872
5819,0.2448083,401.5286248
5820,0.2491317,371.7463343
5821,0.2488263,0.175112952
5823,0.2491156,0.723598129
5824,0.2492427,-1.152769525
5825,0.2493383,-1.227306194
5826,0.2494405,-0.457828748
5828,0.2496705,0.607039862
5829,0.2498142,0.142873431
5831,0.2500441,-0.251854033
5834,0.2504197,0.068336762
5837,0.2507528,-0.020941911
5838,0.2508586,0.031137315
5842,0.2513065,-0.125238138
5843,0.2513894,0.073296688
5846,0.2516671,-0.110358359
5858,0.2529469,-0.207076921
5860,0.2532037,0.013777573
5862,0.2534521,-0.1748374
5866,0.2539186,0.023697425
5910,0.25681,-0.179797326
5921,0.2567825,0.021217462
5923,0.2567995,-0.202116994
5929,0.2568817,-0.10291847
5946,0.2568253,0.023697425
5948,0.2568098,-0.159957621
5965,0.2566989,0.006337684
5968,0.2567368,-0.167397511
5976,0.2567228,-0.070678949
