Total plastic story drift angle *(rad),Force in the actuator (kN)
0.004203526,-101.7316699
0.003199699,-118.0430769
0.00232135,-128.3450182
0.00156848,-136.9299692
-6.27392E-05,-146.3734154
-0.001317523,-152.3828811
-0.003952569,-171.2697734
-0.006838572,-189.2981706
-0.008218834,-191.0151608
-0.011857708,-196.1661315
-0.012485099,-195.3076364
-0.01323797,-188.4396755
-0.01323797,-167.835793
-0.01323797,-149.8073958
-0.012610578,-113.7506014
-0.00934814,1.287742657
-0.009097183,9.014198601
-0.008720748,21.03313007
-0.008093356,40.77851748
-0.007215007,62.2408951
-0.00621118,89.71273846
-0.005081875,107.7411357
-0.003952569,120.6185622
-0.003325177,131.7789986
-0.002697785,142.0809399
-0.001066566,154.0998713
-0.000564653,164.4018126
0.001317523,184.1472
0.002446829,201.3171021
0.003701612,213.3360336
0.004579961,223.6379748
0.005207353,232.2229259
0.006336659,239.9493818
0.00696405,245.1003524
0.008218834,255.4022937
0.009097183,262.2702545
0.010351967,270.8552056
0.010979359,276.0061762
0.011606751,278.5816615
0.013112491,283.7326322
0.014367275,288.8836028
0.015873016,293.1760783
0.016876843,294.8930685
0.018006148,295.7515636
0.018508062,295.7515636
0.019009976,293.1760783
0.019260932,286.3081175
0.019386411,276.0061762
0.019511889,252.8268084
0.019511889,227.0719552
0.018131627,7.297208392
0.01788067,-8.155703497
0.017629713,-17.59914965
0.017253278,-27.0425958
0.017002321,-35.62754685
0.016751365,-45.07099301
0.016374929,-55.37293427
0.015622059,-69.10885594
0.014241797,-85.42026294
0.012861535,-106.8826406
0.011481272,-120.6185622
0.008720748,-139.5054545
0.006587615,-149.8073958
0.004454483,-160.9678322
0.002070393,-171.2697734
-0.000188218,-178.9962294
-0.002195872,-188.4396755
-0.004705439,-192.732151
-0.008720748,-202.1755972
-0.012359621,-209.043558
-0.015245624,-210.7605483
-0.019135454,-213.3360336
-0.021895978,-213.3360336
-0.023025284,-209.9020531
-0.023401719,-197.8831217
-0.023025284,-178.9962294
-0.0217705,-72.54283636
-0.021394065,-52.79744895
-0.020766673,-33.05206154
-0.020264759,-9.872693706
-0.019511889,17.59914965
-0.018508062,43.3540028
-0.017504235,65.67487552
-0.016500408,86.27875804
-0.015747537,103.4486601
-0.014116318,120.6185622
-0.012359621,136.0714741
-0.01010101,154.0998713
-0.007716921,169.5527832
-0.005709267,177.2792392
-0.003701612,190.1566657
-0.001066566,203.0340923
0.00232135,214.1945287
0.004203526,227.0719552
0.006587615,235.6569063
0.009599097,246.8173427
0.011230316,256.2607888
0.012610578,263.9872448
0.013614405,268.2797203
0.014492754,274.289186
0.016500408,280.2986517
0.017253278,286.3081175
0.01863354,287.1666126
0.019637367,287.1666126
0.019888324,279.4401566
0.020013803,262.2702545
0.020264759,171.2697734
0.020139281,131.7789986
0.016374929,-19.31613986
0.016123973,-21.89162517
0.015747537,-28.75958601
0.015371102,-38.20303217
0.014994667,-50.22196364
0.013865362,-65.67487552
0.012736056,-79.4107972
0.011355794,-95.7222042
0.009473618,-115.4675916
0.007967878,-130.9205035
0.006085702,-145.5149203
0.003701612,-155.8168615
0.001944915,-162.6848224
-0.001317523,-175.562249
-0.003701612,-179.8547245
-0.006336659,-185.0056951
-0.009724575,-193.5906462
-0.013614405,-203.0340923
-0.017253278,-206.4680727
-0.020139281,-211.6190434
-0.022899806,-213.3360336
-0.023903633,-210.7605483
-0.024029111,-205.6095776
-0.023903633,-188.4396755
-0.023652676,-163.5433175
-0.020139281,-38.20303217
-0.019386411,-19.31613986
-0.018759019,3.004732867
-0.017378757,34.76905175
-0.016249451,64.81638042
-0.015120146,81.98628252
-0.014367275,96.5806993
-0.01323797,111.1751161
-0.012234143,120.6185622
-0.011230316,134.3544839
-0.01010101,144.6564252
-0.008720748,154.0998713
-0.007465964,161.8263273
-0.005834745,171.2697734
-0.004203526,181.5717147
-0.001944915,189.2981706
-0.000188218,197.0246266
0.001317523,205.6095776
0.003701612,216.770014
0.005207353,222.7794797
0.007465964,233.9399161
0.00934814,240.8078769
0.012234143,257.977779
0.014492754,267.4212252
0.016500408,276.0061762
0.01788067,282.8741371
0.020013803,291.4590881
0.021519543,297.4685538
0.023527197,300.9025343
0.025534852,305.1950098
0.026915114,306.0535049
0.028420855,306.912
0.029424682,305.1950098
0.029675638,300.9025343
0.029675638,293.1760783
0.029675638,284.5911273
0.029675638,270.8552056
0.02955016,257.1192839
0.029424682,238.2323916
0.029299203,220.2039944
0.02879729,73.40133147
0.02879729,67.39186573
0.028671811,58.80691469
0.028671811,47.64647832
0.028546333,39.92002238
0.028295376,29.61808112
0.028044419,13.30667413
0.027417027,-3.863227972
0.026789635,-21.03313007
0.026287722,-34.76905175
0.025283895,-49.36346853
0.024280068,-69.96735105
0.023150762,-87.13725315
0.021895978,-99.15618462
0.021143108,-111.1751161
0.019260932,-122.3355524
0.017755192,-130.9205035
0.015245624,-144.6564252
0.012610578,-158.3923469
0.009724575,-167.835793
0.006838572,-177.2792392
0.002948742,-181.5717147
-0.001192045,-188.4396755
-0.004454483,-193.5906462
-0.008469791,-199.6001119
-0.012485099,-204.7510825
-0.015747537,-207.3265678
-0.021519543,-213.3360336
-0.026162244,-216.770014
-0.034318339,-217.6285091
-0.03419286,-209.043558
-0.033941904,-193.5906462
-0.033314512,-164.4018126
-0.03268712,-139.5054545
-0.031808771,-98.29768951
-0.031055901,-61.3824
-0.029801117,-21.03313007
-0.028922768,8.155703497
-0.027040592,51.93895385
-0.025534852,73.40133147
-0.023903633,103.4486601
-0.02252337,116.3260867
-0.020390238,133.4959888
-0.01788067,150.6658909
-0.016249451,159.250842
-0.013739883,171.2697734
-0.010728402,184.1472
-0.006085702,199.6001119
-0.002572307,211.6190434
0.000690131,218.4870042
0.007716921,237.3738965
0.011355794,251.1098182
0.013488927,254.5437986
0.015371102,259.6947692
0.0171278,263.9872448
0.018884497,270.8552056
0.02101763,278.5816615
0.023150762,282.8741371
