Total plastic story drift angle *(rad),Force in the actuator (kN)
-0.03595655,-174.3991416
-0.033307817,-76.40343348
-0.030394211,0.830472103
-0.028010351,56.472103
-0.024169688,113.7746781
-0.019004659,151.9763948
-0.01542887,171.9077253
-0.011985517,191.8390558
-0.008012417,207.6180258
-0.001523021,234.193133
0.002185205,256.6158798
0.006290741,277.3776824
0.009734094,290.6652361
0.012117953,303.9527897
0.01542887,313.0879828
0.018474913,325.5450644
0.023507506,352.1201717
0.026156238,365.4077253
0.028275224,372.8819742
0.029996901,371.22103
0.030791521,356.2725322
0.030659084,307.2746781
0.030129337,249.972103
0.029202281,193.5
0.028010351,64.77682403
0.026685984,0
0.025626491,-56.472103
0.022315575,-120.4184549
0.019534406,-153.6373391
0.015826179,-184.3648069
0.011720643,-204.2961373
0.006158304,-220.9055794
0.001787895,-227.5493562
-0.004436628,-228.3798283
-0.011588206,-230.8712446
-0.019269533,-221.7360515
-0.029069844,-216.7532189
-0.035691677,-209.27897
-0.03675117,-200.9742489
-0.035691677,-151.1459227
-0.03476462,-115.4356223
-0.032778071,-48.16738197
-0.031321268,0
-0.029202281,45.67596567
-0.026421111,89.69098712
-0.020196589,144.5021459
-0.015693743,169.416309
-0.011985517,190.1781116
-0.007217797,205.9570815
-0.003244698,227.5493562
0.003774444,246.6502146
0.009469221,270.7339056
0.013574757,283.1909871
0.018077603,302.2918455
0.022712886,327.2060086
0.027745478,356.2725322
0.029599591,367.0686695
0.032645633,379.5257511
0.036486297,387
0.037678226,383.6781116
0.03953234,376.2038627
0.040459396,347.9678112
0.040194522,289.8347639
0.039664777,226.7188841
0.03913503,164.4334764
0.03754579,76.40343348
0.036221424,-9.135193133
0.033440253,-71.42060086
0.029732028,-142.8412017
0.022580448,-195.1609442
0.01383963,-218.4141631
0.004171754,-223.3969957
-0.046683919,-184.3648069
-0.048140722,-176.0600858
-0.048008285,-153.6373391
-0.045359553,-105.4699571
-0.043637876,-61.45493562
-0.040724269,-1.660944206
-0.037280917,58.96351931
-0.033042944,96.33476395
-0.028804971,125.4012876
-0.023242632,152.806867
-0.016355926,174.3991416
-0.010131404,190.1781116
-0.003642008,211.7703863
0.004304191,233.3626609
0.01344232,258.276824
0.020196589,275.7167382
0.026685984,302.2918455
0.032778071,338.0021459
0.03675117,356.2725322
0.03953234,362.0858369
0.039797213,331.3583691
0.040062086,284.8519313
0.038207973,134.5364807
0.035691677,-9.965665236
0.033042944,-94.67381974
0.028937408,-144.5021459
0.023242632,-174.3991416
0.018474913,-191.8390558
0.009998967,-195.1609442
-0.047213665,-167.7553648
-0.047346102,-131.2145923
-0.045359553,-85.53862661
-0.042048636,-30.72746781
-0.039399904,9.965665236
-0.035426804,56.472103
-0.028407661,103.8090129
-0.023375068,131.2145923
-0.01463425,162.7725322
-0.003112261,193.5
0.01344232,234.193133
0.028142788,286.5128755
0.03595655,326.3755365
0.041254016,357.9334764
0.044035186,365.4077253
0.047213665,380.3562232
0.049862398,381.1866953
0.050259709,352.1201717
0.049994835,333.8497854
0.049729962,298.139485
0.049465089,239.1759657
0.049994835,178.5515021
0.049332651,132.0450644
0.047875849,31.55793991
0.046154173,-34.87982833
0.044035186,-83.8776824
0.040062086,-131.2145923
0.036618733,-162.7725322
0.030261775,-183.5343348
0.021653392,-191.8390558
0.01105846,-187.6866953
0.001523021,-189.3476395
-0.01225039,-178.5515021
-0.042445946,-151.1459227
-0.061251951,-137.8583691
-0.060722204,-122.9098712
-0.0592654,-93.84334764
-0.056616667,-71.42060086
-0.053835498,-42.35407725
-0.049994835,-7.474248927
-0.044167622,34.04935622
-0.032778071,85.53862661
-0.018872222,127.0622318
-0.009601657,153.6373391
0.004039317,190.1781116
0.017680293,223.3969957
0.029864464,255.7854077
0.03675117,284.8519313
0.042975693,308.9356223
0.048802905,339.6630901
0.050921891,339.6630901
0.051451638,302.2918455
0.050789455,195.1609442
0.048670469,52.31974249
0.043902749,-80.55579399
0.03873772,-126.2317597
0.023507506,-156.1287554
0.005628557,-158.6201717
-0.061251951,-117.9270386
-0.061119513,-107.9613734
-0.058735654,-84.70815451
-0.047610975,-9.135193133
-0.040989142,20.76180258
-0.033307817,48.99785408
-0.001655459,139.5193133
-0.005098811,128.723176
0.037678226,256.6158798
0.047213665,298.9699571
0.051981385,327.2060086
0.0552923,339.6630901
0.059662711,351.2896996
0.062576316,337.1716738
0.063106063,313.0879828
0.063106063,295.6480687
0.062973627,240.8369099
0.062179007,170.2467811
0.061516824,109.6223176
0.059000527,32.38841202
0.057278851,-22.42274678
0.055822047,-61.45493562
0.051186765,-105.4699571
0.042843256,-127.8927039
0.035029493,-137.8583691
0.023110195,-142.0107296
-0.061119513,-105.4699571
-0.05608692,-107.1309013
-0.073171249,-97.99570815
-0.072509065,-80.55579399
-0.070522516,-72.25107296
-0.064960176,-43.18454936
-0.06006002,-26.5751073
-0.0552923,-4.152360515
-0.047346102,20.76180258
-0.039797213,40.69313305
-0.004171754,112.1137339
0.022977759,175.2296137
0.038605284,217.583691
0.049862398,250.8025751
0.058735654,287.3433476
0.062973627,306.444206
0.06403312,271.5643777
0.0632385,211.7703863
0.06244388,142.0107296
0.057941034,10.79613734
0.053703062,-60.62446352
0.049994835,-80.55579399
0.043373002,-97.16523605
0.026156238,-115.4356223
0.008542164,-117.9270386
-0.071582009,-89.69098712
-0.070787389,-74.74248927
-0.068403529,-62.28540773
-0.051186765,3.321888412
