Total plastic story drift angle (rad),Force in the actuator (kN)
0.017970082,315.147714
0.019089326,313.4998828
0.019835489,301.1411489
0.020332931,264.8888628
0.02020857,214.6300117
0.02020857,189.0886284
0.019959849,161.0754982
0.018467524,72.91652989
0.01734828,25.12942556
0.016353397,-8.651113716
0.014239269,-67.14912075
0.012995665,-95.16225088
0.009886654,-131.4145369
0.008021248,-147.0689332
0.00578276,-166.0189918
0.002300668,-184.9690504
-0.001927587,-199.7995311
-0.005160958,-211.3343494
-0.009016131,-220.3974209
-0.016353397,-229.4604924
-0.020332931,-234.4039859
-0.022198337,-231.9322392
-0.022695779,-231.9322392
-0.022571418,-217.9256741
-0.022695779,-195.6799531
-0.019586768,-74.56436108
-0.017721362,9.475029308
-0.014612351,90.21875733
-0.0116277,138.0058617
-0.006777644,181.673388
-0.003295551,206.3908558
0.001803226,229.4604924
0.005160958,247.5866354
0.007772527,257.4736225
0.011254619,278.0715123
0.012995665,285.4867526
0.016104676,301.9650645
0.017597001,313.4998828
0.019462408,322.5629543
0.021079093,325.8586166
0.0229445,332.4499414
0.024561185,337.3934349
0.026053511,338.2173505
0.027048394,339.8651817
0.027918917,335.7456038
0.028540719,327.5064478
0.0289138,318.4433763
0.029038161,297.0215709
0.029162521,266.536694
0.0289138,148.7167644
0.028416359,91.86658851
0.027918917,55.61430246
0.027297115,24.30550996
0.026675313,-12.77069168
0.025680429,-40.78382181
0.024188104,-77.86002345
0.022447058,-105.8731536
0.020332931,-128.1188746
0.017597001,-150.3645955
0.014239269,-170.1385698
0.010135375,-190.7364596
0.006031481,-201.4473623
0.001803226,-212.9821805
-0.001554505,-219.5735053
-0.006404562,-226.9887456
-0.01150334,-235.2279015
-0.018716245,-236.8757327
-0.032893334,-226.9887456
-0.033639497,-217.9256741
-0.034136939,-207.2147714
-0.033888218,-197.3277843
-0.031027928,-82.803517
-0.028291998,19.36201641
-0.027670196,44.07948417
-0.026799673,62.2056272
-0.02592915,80.33177022
-0.023690662,105.049238
-0.022322698,122.3514654
-0.021203454,135.5341149
-0.019462408,147.8928488
-0.018343164,159.4276671
-0.015109792,177.5538101
-0.012746944,190.7364596
-0.009264852,204.7430246
-0.005409679,222.0452521
-0.002549389,229.4604924
-0.000683982,236.0518171
0.00279811,246.7627198
0.008021248,259.9453693
0.011130259,272.3041032
0.014239269,283.0150059
0.017597001,294.5498242
0.020954733,309.3803048
0.0229445,317.6194607
0.024436825,325.0347011
0.026302231,334.0977726
0.027297115,336.5695193
0.028291998,338.2173505
0.0289138,328.3303634
0.029659963,306.908558
0.029659963,276.4236811
0.029908684,231.1083236
0.028043277,123.175381
0.027048394,54.79038687
0.026053511,17.71418523
0.024809906,-30.8968347
0.0229445,-70.44478312
0.020954733,-107.5209848
0.017970082,-139.6536928
0.013990549,-163.547245
0.011130259,-179.2016413
0.007275085,-194.0321219
0.004166074,-202.2712778
0.000310901,-208.038687
-0.003046831,-211.3343494
-0.007896887,-216.2778429
-0.019089326,-214.6300117
-0.024188104,-213.8060961
-0.028291998,-210.5104338
-0.032271532,-204.7430246
-0.033639497,-199.7995311
-0.03463438,-192.3842907
-0.034758741,-188.2647128
-0.034758741,-177.5538101
-0.033266416,-114.1123095
-0.032271532,-73.74044549
-0.031401009,-49.02297773
-0.030033044,-8.651113716
-0.028167638,35.84032825
-0.024934267,86.92309496
-0.023441941,104.2253224
-0.021452175,123.175381
-0.020332931,134.7101993
-0.018716245,145.421102
-0.016850839,156.1320047
-0.015234153,163.547245
-0.012498223,177.5538101
-0.010384096,188.2647128
-0.007523806,198.1516999
-0.003544272,212.9821805
0.000435262,226.16483
0.004912237,238.5235639
0.008394329,252.530129
0.014612351,271.4801876
0.017721362,282.1910903
0.020706012,299.4933177
0.022571418,307.7324736
0.024312464,315.147714
0.026177871,325.0347011
0.027545836,332.4499414
0.028416359,335.7456038
0.029038161,338.2173505
0.030406126,343.1608441
0.03164973,344.8086753
0.032893334,346.4565064
0.034385659,348.1043376
0.034883101,348.9282532
0.035629264,351.4
0.036499787,346.4565064
0.037245949,337.3934349
0.037619031,328.3303634
0.037619031,313.4998828
0.037743391,279.7193435
0.037867752,239.3474795
0.037245949,133.0623681
0.036872868,83.62743259
0.036002345,44.90339977
0.035007462,3.707620164
0.033888218,-35.84032825
0.031898451,-81.97960141
0.030530486,-103.4014068
0.028416359,-124.8232122
0.026177871,-141.301524
0.023566302,-160.2515826
0.022073977,-172.6103165
0.019835489,-182.4973036
0.018094443,-189.912544
0.016353397,-194.8560375
0.01436363,-199.7995311
0.011752061,-203.919109
0.009637933,-207.2147714
0.006653283,-208.038687
0.003544272,-210.5104338
-6.21802E-05,-209.6865182
-0.004041714,-207.2147714
-0.027421475,-191.5603751
-0.044583215,-178.3777257
-0.044707575,-177.5538101
-0.044831936,-174.2581477
-0.045329377,-167.666823
-0.045329377,-156.9559203
-0.045205017,-144.5971864
-0.044831936,-125.6471278
-0.044210134,-91.04267292
-0.043712692,-78.68393904
-0.043463971,-72.0926143
-0.04309089,-65.50128957
-0.042593448,-58.08604924
-0.042096006,-45.72731536
-0.040976762,-16.89026964
-0.039235716,11.94677608
-0.036872868,49.84689332
-0.035504903,67.97303634
-0.033763857,86.09917937
-0.031898451,100.1057444
-0.029411242,118.2318875
-0.027421475,131.4145369
-0.024685546,143.7732708
-0.020954733,156.9559203
-0.017472641,170.1385698
-0.012622584,188.2647128
-0.00578276,203.0951934
0.001057064,218.7495897
0.004912237,229.4604924
0.009762294,242.6431419
0.015731595,259.9453693
0.026302231,292.0780774
0.028291998,298.6694021
0.031276649,313.4998828
0.032893334,321.7390387
0.034883101,331.6260258
0.036624147,340.6890973
0.037121589,339.0412661
0.037619031,329.9781946
