type,section,h,b,t,h_over_t,b_over_t,r_o,r_i,wei,perim,area,a_vz,a_vy,i_y,r_y,s_y,z_y,i_z,r_z,s_z,w_z,j,c_w,,,,,,,,,,,,
SHS,SHS 90x5,90,90,5,18.0,18.0,7.5,5,13.1,0.347,1673,837,837,1996000,34.5,44350,52990,1996000,34.5,44350,52990,3155000,64810,,,,,,,,,,,,
SHS,SHS 90x6.3,90,90,6.3,14.3,14.3,9.4,6.3,16.2,0.344,2067,1033,1033,2383000,34,52950,64310,2383000,34,52950,64310,3818000,77010,,,,,,,,,,,,
SHS,SHS 90x8,90,90,8,11.3,11.3,12,8,20.1,0.339,2555,1278,1278,2815000,33.2,62550,77650,2815000,33.2,62550,77650,4590000,90500,,,,,,,,,,,,
SHS,SHS 100x4,100,100,4,25.0,25.0,6,4,11.9,0.39,1519,759,759,2318000,39.1,46360,54440,2318000,39.1,46360,54440,3611000,68150,,,,,,,,,,,,
SHS,SHS 100x5,100,100,5,20.0,20.0,7.5,5,14.7,0.387,1873,937,937,2794000,38.6,55890,66360,2794000,38.6,55890,66360,4394000,81830,,,,,,,,,,,,
SHS,SHS 100x6.3,100,100,6.3,15.9,15.9,9.4,6.3,18.2,0.384,2319,1159,1159,3356000,38,67110,80860,3356000,38,67110,80860,5342000,97820,,,,,,,,,,,,
SHS,SHS 100x8,100,100,8,12.5,12.5,12,8,22.6,0.379,2875,1438,1438,3996000,37.3,79920,98180,3996000,37.3,79920,98180,6462000,115900,,,,,,,,,,,,
SHS,SHS 100x10,100,100,10,10.0,10.0,15,10,27.4,0.374,3493,1746,1746,4621000,36.4,92420,116200,4621000,36.4,92420,116200,7610000,133400,,,,,,,,,,,,
SHS,SHS 120x5,120,120,5,24.0,24.0,7.5,5,17.8,0.467,2273,1137,1137,4977000,46.8,82950,97590,4977000,46.8,82950,97590,7765000,121900,,,,,,,,,,,,
SHS,SHS 120x6.3,120,120,6.3,19.0,19.0,9.4,6.3,22.2,0.464,2823,1411,1411,6029000,46.2,100500,119600,6029000,46.2,100500,119600,9502000,147000,,,,,,,,,,,,
SHS,SHS 120x8,120,120,8,15.0,15.0,12,8,27.6,0.459,3515,1758,1758,7263000,45.5,121100,146500,7263000,45.5,121100,146500,11600000,176200,,,,,,,,,,,,
SHS,SHS 120x10,120,120,10,12.0,12.0,15,10,33.7,0.454,4293,2146,2146,8521000,44.6,142000,175200,8521000,44.6,142000,175200,13820000,205800,,,,,,,,,,,,
SHS,SHS 120x12.5,120,120,12.5,9.6,9.6,18.8,12.5,40.9,0.448,5207,2604,2604,9818000,43.4,163600,206800,9818000,43.4,163600,206800,16230000,235900,,,,,,,,,,,,
SHS,SHS 140x5,140,140,5,28.0,28.0,7.5,5,21,0.547,2673,1337,1337,8075000,55,115400,134800,8075000,55,115400,134800,12530000,169900,,,,,,,,,,,,
SHS,SHS 140x6.3,140,140,6.3,22.2,22.2,9.4,6.3,26.1,0.544,3327,1663,1663,9839000,54.4,140600,166000,9839000,54.4,140600,166000,15400000,206200,,,,,,,,,,,,
