type,section,t_f,w,a,d,d_det,b_f,b_fdet,t_w,t_wdet,t_f,t_fdet,k_des,k_det,k_1,b_f_ov_2t_f,h_ov_t_w,i_x,z_x,s_x,r_x,i_y,z_y,s_y,r_y,j,c_w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X361,T,361,106,38.0,38      ,16.7,16  3/4 ,1.12,1  1/8 ,2.01,2      ,2.96,3  5/16,1  3/4 ,4.16,28.6,25700,1550,1350,15.6,1570,293,188,3.85,109,509000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X330,F,330,96.9,37.7,37  5/8 ,16.6,16  5/8 ,1.02,1      ,1.85,1  7/8 ,2.80,3  1/8 ,1  3/4 ,4.49,31.4,23300,1410,1240,15.5,1420,265,171,3.83,84.3,456000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X302,F,302,89.0,37.3,37  3/8 ,16.7,16  5/8 ,0.945, 15/16,1.68,1 11/16,2.63,3      ,1 11/16,4.96,33.9,21100,1280,1130,15.4,1300,241,156,3.82,64.3,412000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X282,F,282,82.9,37.1,37  1/8 ,16.6,16  5/8 ,0.885,  7/8 ,1.57,1  9/16,2.52,2  7/8 ,1  5/8 ,5.29,36.2,19600,1190,1050,15.4,1200,223,144,3.80,52.7,378000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X262,F,262,77.2,36.9,36  7/8 ,16.6,16  1/2 ,0.840, 13/16,1.44,1  7/16,2.39,2  3/4 ,1  5/8 ,5.75,38.2,17900,1100,972,15.3,1090,204,132,3.76,41.6,342000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X247,F,247,72.5,36.7,36  5/8 ,16.5,16  1/2 ,0.800, 13/16,1.35,1  3/8 ,2.30,2  5/8 ,1  5/8 ,6.11,40.1,16700,1030,913,15.2,1010,190,123,3.74,34.7,316000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X231,F,231,68.2,36.5,36  1/2 ,16.5,16  1/2 ,0.760,  3/4 ,1.26,1  1/4 ,2.21,2  9/16,1  9/16,6.54,42.2,15600,963,854,15.1,940,176,114,3.71,28.7,292000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X256,F,256,75.3,37.4,37  3/8 ,12.2,12  1/4 ,0.960, 15/16,1.73,1  3/4 ,2.48,2 15/16,1 11/16,3.53,33.8,16800,1040,895,14.9,528,137,86.5,2.65,52.9,168000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X232,F,232,68.0,37.1,37  1/8 ,12.1,12  1/8 ,0.870,  7/8 ,1.57,1  9/16,2.32,2 13/16,1  5/8 ,3.86,37.3,15000,936,809,14.8,468,122,77.2,2.62,39.6,148000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W36X210,F,210,61.9,36.7,36  3/4 ,12.2,12  1/8 ,0.830, 13/16,1.36,1  3/8 ,2.11,2  5/8 ,1  5/8 ,4.48,39.1,13200,833,719,14.6,411,107,67.5,2.58,28.0,128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
