type,section,t_f,w,a,d,d_det,b_f,b_fdet,t_w,t_wdet,t_f,t_fdet,k_des,k_det,k_1,b_f_ov_2t_f,h_ov_t_w,i_x,z_x,s_x,r_x,i_y,z_y,s_y,r_y,j,c_w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X182,F,182,53.6,22.7,22  3/4 ,12.5,12  1/2 ,0.830, 13/16,1.48,1  1/2 ,1.98,2  3/4 ,1  5/8 ,4.22,22.6,4730,476,417,9.40,483,119,77.2,3.00,30.7,54400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X166,F,166,48.8,22.5,22  1/2 ,12.4,12  3/8 ,0.750,  3/4 ,1.36,1  3/8 ,1.86,2  5/8 ,1  9/16,4.57,25.0,4280,432,380,9.36,435,108,70.0,2.99,23.6,48500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X147,F,147,43.2,22.1,22      ,12.5,12  1/2 ,0.720,  3/4 ,1.15,1  1/8 ,1.65,2  7/16,1  9/16,5.44,26.1,3630,373,329,9.17,376,92.6,60.1,2.95,15.4,41100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X132,F,132,38.8,21.8,21  7/8 ,12.4,12  1/2 ,0.650,  5/8 ,1.04,1  1/16,1.54,2  1/4 ,1  9/16,6.01,28.9,3220,333,295,9.12,333,82.3,53.5,2.93,11.3,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X122,F,122,35.9,21.7,21  5/8 ,12.4,12  3/8 ,0.600,  5/8 ,0.960, 15/16,1.46,2  1/4 ,1  1/2 ,6.45,31.3,2960,307,273,9.09,305,75.6,49.2,2.92,8.98,32700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X111,F,111,32.6,21.5,21  1/2 ,12.3,12  3/8 ,0.550,  9/16,0.875,  7/8 ,1.38,2  1/8 ,1  1/2 ,7.05,34.1,2670,279,249,9.05,274,68.2,44.5,2.90,6.83,29200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X101,F,101,29.8,21.4,21  3/8 ,12.3,12  1/4 ,0.500,  1/2 ,0.800, 13/16,1.30,2  1/16,1  7/16,7.68,37.5,2420,253,227,9.02,248,61.7,40.3,2.89,5.21,26200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X93,F,93.0,27.3,21.6,21  5/8 ,8.42,8  3/8 ,0.580,  9/16,0.930, 15/16,1.43,1  5/8 , 15/16,4.53,32.3,2070,221,192,8.70,92.9,34.7,22.1,1.84,6.03,9940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X83,F,83.0,24.4,21.4,21  3/8 ,8.36,8  3/8 ,0.515,  1/2 ,0.835, 13/16,1.34,1  1/2 ,  7/8 ,5.00,36.4,1830,196,171,8.67,81.4,30.5,19.5,1.83,4.34,8630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X73,F,73.0,21.5,21.2,21  1/4 ,8.30,8  1/4 ,0.455,  7/16,0.740,  3/4 ,1.24,1  7/16,  7/8 ,5.60,41.2,1600,172,151,8.64,70.6,26.6,17.0,1.81,3.02,7410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X68,F,68.0,20.0,21.1,21  1/8 ,8.27,8  1/4 ,0.430,  7/16,0.685, 11/16,1.19,1  3/8 ,  7/8 ,6.04,43.6,1480,160,140,8.60,64.7,24.4,15.7,1.80,2.45,6760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X62,F,62.0,18.3,21.0,21      ,8.24,8  1/4 ,0.400,  3/8 ,0.615,  5/8 ,1.12,1  5/16, 13/16,6.70,46.9,1330,144,127,8.54,57.5,21.7,14.0,1.77,1.83,5960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X55,F,55.0,16.2,20.8,20  3/4 ,8.22,8  1/4 ,0.375,  3/8 ,0.522,  1/2 ,1.02,1  3/16, 13/16,7.87,50.0,1140,126,110,8.40,48.4,18.4,11.8,1.73,1.24,4980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X48,F,48.0,14.1,20.6,20  5/8 ,8.14,8  1/8 ,0.350,  3/8 ,0.430,  7/16,0.930,1  1/8 , 13/16,9.47,53.6,959,107,93.0,8.24,38.7,14.9,9.52,1.66,0.803,3950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X57,F,57.0,16.7,21.1,21      ,6.56,6  1/2 ,0.405,  3/8 ,0.650,  5/8 ,1.15,1  5/16, 13/16,5.04,46.3,1170,129,111,8.36,30.6,14.8,9.35,1.35,1.77,3190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X50,F,50.0,14.7,20.8,20  7/8 ,6.53,6  1/2 ,0.380,  3/8 ,0.535,  9/16,1.04,1  1/4 , 13/16,6.10,49.4,984,110,94.5,8.18,24.9,12.2,7.64,1.30,1.14,2570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W21X44,F,44.0,13.0,20.7,20  5/8 ,6.50,6  1/2 ,0.350,  3/8 ,0.450,  7/16,0.950,1  1/8 , 13/16,7.22,53.6,843,95.4,81.6,8.06,20.7,10.2,6.37,1.26,0.770,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X311,T,311,91.6,22.3,22  3/8 ,12.0,12      ,1.52,1  1/2 ,2.74,2  3/4 ,3.24,3  9/16,1  9/16,2.19,10.4,6970,754,624,8.72,795,207,132,2.95,176,76200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X283,T,283,83.3,21.9,21  7/8 ,11.9,11  7/8 ,1.40,1  3/8 ,2.50,2  1/2 ,3.00,3  3/8 ,1  1/2 ,2.38,11.3,6170,676,565,8.61,704,185,118,2.91,134,65900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X258,T,258,76.0,21.5,21  1/2 ,11.8,11  3/4 ,1.28,1  1/4 ,2.30,2  5/16,2.70,3  3/16,1  7/16,2.56,12.5,5510,611,514,8.53,628,166,107,2.88,103,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X234,T,234,68.6,21.1,21      ,11.7,11  5/8 ,1.16,1  3/16,2.11,2  1/8 ,2.51,3      ,1  3/8 ,2.76,13.8,4900,549,466,8.44,558,149,95.8,2.85,78.7,50100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X211,F,211,62.3,20.7,20  5/8 ,11.6,11  1/2 ,1.06,1  1/16,1.91,1 15/16,2.31,2 13/16,1  3/8 ,3.02,15.1,4330,490,419,8.35,493,132,85.3,2.82,58.6,43400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X192,F,192,56.2,20.4,20  3/8 ,11.5,11  1/2 ,0.960, 15/16,1.75,1  3/4 ,2.15,2  5/8 ,1  5/16,3.27,16.7,3870,442,380,8.28,440,119,76.8,2.79,44.7,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X175,F,175,51.4,20.0,20      ,11.4,11  3/8 ,0.890,  7/8 ,1.59,1  9/16,1.99,2  7/16,1  1/4 ,3.58,18.0,3450,398,344,8.20,391,106,68.8,2.76,33.8,33300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X158,F,158,46.3,19.7,19  3/4 ,11.3,11  1/4 ,0.810, 13/16,1.44,1  7/16,1.84,2  3/8 ,1  1/4 ,3.92,19.8,3060,356,310,8.12,347,94.8,61.4,2.74,25.2,29000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X143,F,143,42.0,19.5,19  1/2 ,11.2,11  1/4 ,0.730,  3/4 ,1.32,1  5/16,1.72,2  3/16,1  3/16,4.25,22.0,2750,322,282,8.09,311,85.4,55.5,2.72,19.2,25700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X130,F,130,38.3,19.3,19  1/4 ,11.2,11  1/8 ,0.670, 11/16,1.20,1  3/16,1.60,2  1/16,1  3/16,4.65,23.9,2460,290,256,8.03,278,76.7,49.9,2.70,14.5,22700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X119,F,119,35.1,19.0,19      ,11.3,11  1/4 ,0.655,  5/8 ,1.06,1  1/16,1.46,1 15/16,1  3/16,5.31,24.5,2190,262,231,7.90,253,69.1,44.9,2.69,10.6,20300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X106,F,106,31.1,18.7,18  3/4 ,11.2,11  1/4 ,0.590,  9/16,0.940, 15/16,1.34,1 13/16,1  1/8 ,5.96,27.2,1910,230,204,7.84,220,60.5,39.4,2.66,7.48,17400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X97,F,97.0,28.5,18.6,18  5/8 ,11.1,11  1/8 ,0.535,  9/16,0.870,  7/8 ,1.27,1  3/4 ,1  1/8 ,6.41,30.0,1750,211,188,7.82,201,55.3,36.1,2.65,5.86,15800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X86,F,86.0,25.3,18.4,18  3/8 ,11.1,11  1/8 ,0.480,  1/2 ,0.770,  3/4 ,1.17,1  5/8 ,1  1/16,7.20,33.4,1530,186,166,7.77,175,48.4,31.6,2.63,4.10,13600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X76,F,76.0,22.3,18.2,18  1/4 ,11.0,11      ,0.425,  7/16,0.680, 11/16,1.08,1  9/16,1  1/16,8.11,37.8,1330,163,146,7.73,152,42.2,27.6,2.61,2.83,11700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X71,F,71.0,20.9,18.5,18  1/2 ,7.64,7  5/8 ,0.495,  1/2 ,0.810, 13/16,1.21,1  1/2 ,  7/8 ,4.71,32.4,1170,146,127,7.50,60.3,24.7,15.8,1.70,3.49,4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X65,F,65.0,19.1,18.4,18  3/8 ,7.59,7  5/8 ,0.450,  7/16,0.750,  3/4 ,1.15,1  7/16,  7/8 ,5.06,35.7,1070,133,117,7.49,54.8,22.5,14.4,1.69,2.73,4240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X60,F,60.0,17.6,18.2,18  1/4 ,7.56,7  1/2 ,0.415,  7/16,0.695, 11/16,1.10,1  3/8 , 13/16,5.44,38.7,984,123,108,7.47,50.1,20.6,13.3,1.68,2.17,3850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X55,F,55.0,16.2,18.1,18  1/8 ,7.53,7  1/2 ,0.390,  3/8 ,0.630,  5/8 ,1.03,1  5/16, 13/16,5.98,41.1,890,112,98.3,7.41,44.9,18.5,11.9,1.67,1.66,3430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X50,F,50.0,14.7,18.0,18      ,7.50,7  1/2 ,0.355,  3/8 ,0.570,  9/16,0.972,1  1/4 , 13/16,6.57,45.2,800,101,88.9,7.38,40.1,16.6,10.7,1.65,1.24,3040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X46,F,46.0,13.5,18.1,18      ,6.06,6      ,0.360,  3/8 ,0.605,  5/8 ,1.01,1  1/4 , 13/16,5.01,44.6,712,90.7,78.8,7.25,22.5,11.7,7.43,1.29,1.22,1720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X40,F,40.0,11.8,17.9,17  7/8 ,6.02,6      ,0.315,  5/16,0.525,  1/2 ,0.927,1  3/16, 13/16,5.73,50.9,612,78.4,68.4,7.21,19.1,10.0,6.35,1.27,0.810,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W18X35,F,35.0,10.3,17.7,17  3/4 ,6.00,6      ,0.300,  5/16,0.425,  7/16,0.827,1  1/8 ,  3/4 ,7.06,53.5,510,66.5,57.6,7.04,15.3,8.06,5.12,1.22,0.506,1140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W16X100,F,100,29.4,17.0,17      ,10.4,10  3/8 ,0.585,  9/16,0.985,1      ,1.39,1  7/8 ,1  1/8 ,5.29,24.3,1490,198,175,7.10,186,54.9,35.7,2.51,7.73,11900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W16X89,F,89.0,26.2,16.8,16  3/4 ,10.4,10  3/8 ,0.525,  1/2 ,0.875,  7/8 ,1.28,1  3/4 ,1  1/16,5.92,27.0,1300,175,155,7.05,163,48.1,31.4,2.49,5.45,10200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W16X77,F,77.0,22.6,16.5,16  1/2 ,10.3,10  1/4 ,0.455,  7/16,0.760,  3/4 ,1.16,1  5/8 ,1  1/16,6.77,31.2,1110,150,134,7.00,138,41.1,26.9,2.47,3.57,8590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W16X67,F,67.0,19.6,16.3,16  3/8 ,10.2,10  1/4 ,0.395,  3/8 ,0.665, 11/16,1.07,1  9/16,1      ,7.70,35.9,954,130,117,6.96,119,35.5,23.2,2.46,2.39,7300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W16X57,F,57.0,16.8,16.4,16  3/8 ,7.12,7  1/8 ,0.430,  7/16,0.715, 11/16,1.12,1  3/8 ,  7/8 ,4.98,33.0,758,105,92.2,6.72,43.1,18.9,12.1,1.60,2.22,2660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W16X50,F,50.0,14.7,16.3,16  1/4 ,7.07,7  1/8 ,0.380,  3/8 ,0.630,  5/8 ,1.03,1  5/16, 13/16,5.61,37.4,659,92.0,81.0,6.68,37.2,16.3,10.5,1.59,1.52,2270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W16X45,F,45.0,13.3,16.1,16  1/8 ,7.04,7      ,0.345,  3/8 ,0.565,  9/16,0.967,1  1/4 , 13/16,6.23,41.1,586,82.3,72.7,6.65,32.8,14.5,9.34,1.57,1.11,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W16X40,F,40.0,11.8,16.0,16      ,7.00,7      ,0.305,  5/16,0.505,  1/2 ,0.907,1  3/16, 13/16,6.93,46.5,518,73.0,64.7,6.63,28.9,12.7,8.25,1.57,0.794,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W16X36,F,36.0,10.6,15.9,15  7/8 ,6.99,7      ,0.295,  5/16,0.430,  7/16,0.832,1  1/8 ,  3/4 ,8.12,48.1,448,64.0,56.5,6.51,24.5,10.8,7.00,1.52,0.545,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W16X31,F,31.0,9.13,15.9,15  7/8 ,5.53,5  1/2 ,0.275,  1/4 ,0.440,  7/16,0.842,1  1/8 ,  3/4 ,6.28,51.6,375,54.0,47.2,6.41,12.4,7.03,4.49,1.17,0.461,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W16X26,F,26.0,7.68,15.7,15  3/4 ,5.50,5  1/2 ,0.250,  1/4 ,0.345,  3/8 ,0.747,1  1/16,  3/4 ,7.97,56.8,301,44.2,38.4,6.26,9.59,5.48,3.49,1.12,0.262,565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X873,T,873,257,23.6,23  5/8 ,18.8,18  3/4 ,3.94,3 15/16,5.51,5  1/2 ,6.10,6  3/16,2  9/16,1.71,2.89,18100,2030,1530,8.39,6170,1020,656,4.90,2270,505000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X808,T,808,238,22.8,22  3/4 ,18.6,18  5/8 ,3.74,3  3/4 ,5.12,5  1/8 ,5.71,5  3/4 ,2  1/2 ,1.82,3.04,15900,1830,1390,8.17,5550,930,597,4.83,1840,434000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X730,T,730,215,22.4,22  3/8 ,17.9,17  7/8 ,3.07,3  1/16,4.91,4 15/16,5.51,6  3/16,2  3/4 ,1.82,3.71,14300,1660,1280,8.17,4720,816,527,4.69,1450,362000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X665,T,665,196,21.6,21  5/8 ,17.7,17  5/8 ,2.83,2 13/16,4.52,4  1/2 ,5.12,5 13/16,2  5/8 ,1.95,4.03,12400,1480,1150,7.98,4170,730,472,4.62,1120,305000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X605,T,605,178,20.9,20  7/8 ,17.4,17  3/8 ,2.60,2  5/8 ,4.16,4  3/16,4.76,5  7/16,2  1/2 ,2.09,4.39,10800,1320,1040,7.80,3680,652,423,4.55,869,258000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X550,T,550,162,20.2,20  1/4 ,17.2,17  1/4 ,2.38,2  3/8 ,3.82,3 13/16,4.42,5  1/8 ,2  3/8 ,2.25,4.79,9430,1180,931,7.63,3250,583,378,4.49,669,219000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X500,T,500,147,19.6,19  5/8 ,17.0,17      ,2.19,2  3/16,3.50,3  1/2 ,4.10,4 13/16,2  5/16,2.43,5.21,8210,1050,838,7.48,2880,522,339,4.43,514,187000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X455,T,455,134,19.0,19      ,16.8,16  7/8 ,2.02,2      ,3.21,3  3/16,3.81,4  1/2 ,2  1/4 ,2.62,5.66,7190,936,756,7.33,2560,468,304,4.38,395,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X426,T,426,125,18.7,18  5/8 ,16.7,16  3/4 ,1.88,1  7/8 ,3.04,3  1/16,3.63,4  5/16,2  1/8 ,2.75,6.08,6600,869,706,7.26,2360,434,283,4.34,331,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X398,T,398,117,18.3,18  1/4 ,16.6,16  5/8 ,1.77,1  3/4 ,2.85,2  7/8 ,3.44,4  1/8 ,2  1/8 ,2.92,6.44,6000,801,656,7.16,2170,402,262,4.31,273,129000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X370,T,370,109,17.9,17  7/8 ,16.5,16  1/2 ,1.66,1 11/16,2.66,2 11/16,3.26,3 15/16,2  1/16,3.10,6.89,5440,736,607,7.07,1990,370,241,4.27,222,116000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X342,T,342,101,17.5,17  1/2 ,16.4,16  3/8 ,1.54,1  9/16,2.47,2  1/2 ,3.07,3  3/4 ,2      ,3.31,7.41,4900,672,558,6.98,1810,338,221,4.24,178,103000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X311,T,311,91.4,17.1,17  1/8 ,16.2,16  1/4 ,1.41,1  7/16,2.26,2  1/4 ,2.86,3  9/16,1 15/16,3.59,8.09,4330,603,506,6.88,1610,304,199,4.20,136,89100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X283,T,283,83.3,16.7,16  3/4 ,16.1,16  1/8 ,1.29,1  5/16,2.07,2  1/16,2.67,3  3/8 ,1  7/8 ,3.89,8.84,3840,542,459,6.79,1440,274,179,4.17,104,77700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,W14X257,F,257,75.6,16.4,16  3/8 ,16.0,16      ,1.18,1  3/16,1.89,1  7/8 ,2.49,3  3/16,1 13/16,4.23,9.71,3400,487,415,6.71,1290,246,161,4.13,79.1,67800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
