cross_section,g,h,b,t_w,t_f,r,h_i,d,a,al,ag,i_y,w_ely,w_ply,r_y,a_vz,i_z,w_elz,w_plz,r_z,s_s,i_t,i_w
HD 400 x 287,287.0,393.0,399.0,22.6,36.6,20,320.0,280.0,366.3,2.302,7.974,100060,5092,5835,16.4,98.62,38780,1944,2959,10.2,11.9,1484,12300000
HD 400 x 262,262.0,387.0,398.0,21.1,33.3,20,320.0,280.0,334.6,2.289,8.676,89760,4638,5282,16.3,91.38,35020,1759,2678,10.2,11.1,1133,10940000
HD 400 x 237,237.0,380.0,395.0,18.9,30.2,20,320.0,280.0,300.9,2.268,9.554,79130,4164,4708,16.1,81.62,31040,1571,2389,10.1,10.2,841.9,9489000
HD 400 x 216,216.0,375.0,394.0,17.3,27.7,20,320.0,280.0,275.5,2.257,10.38,71490,3813,4285,16,74.59,28250,1434,2178,10,9.6,652.1,8514000
HD 400 x 187,187.0,368.0,391.0,15.0,24.0,20,320.0,280.0,237.6,2.236,11.91,60540,3290,3665,15.9,64.63,23920,1223,1856,10,8.6,426.9,7073000
HD 360 x 196,196.0,372.0,374.0,16.4,26.2,20,320.0,280.0,250.3,2.173,10.99,63980,3440,3860,15.9,70.62,22860,1222,1858,9.5,9.2,530.9,6828000
HD 360 x 179,179.0,368.0,373.0,15.0,23.9,20,320.0,280.0,228.3,2.164,12,57790,3141,3505,15.8,64.6,20680,1109,1684,9.4,8.6,406,6119000
HD 360 x 162,162.0,364.0,371.0,13.3,21.8,20,320.0,280.0,206.3,2.151,13.19,51890,2851,3162,15.8,57.66,18560,1000,1518,9.4,8,306.6,5431000
HD 360 x 147,147.0,360.0,370.0,12.3,19.8,20,320.0,280.0,187.9,2.141,14.4,46640,2591,2861,15.6,53.19,16720,904,1371,9.3,7.5,233.3,4836000
HD 360 x 134,134.0,356.0,369.0,11.2,18.0,20,320.0,280.0,170.6,2.131,15.77,41860,2352,2585,15.5,48.48,15080,817.3,1238,9.3,7,177.3,4305000
HD 320 x 300,300.0,375.0,313.0,27.0,48.0,27,279.0,225.0,382.1,1.902,6.342,86900,4634,5521,15,120.4,24600,1572,2414,8,15.4,2631,6557000
