cross_section,g,h,b,t_w,t_f,r,h_i,d,a,al,ag,i_y,w_ely,w_ply,r_y,a_vz,i_z,w_elz,w_plz,r_z,s_s,i_t,i_w
HE 100 M,41.8,120.0,106.0,12.0,20.0,12,80.0,56.0,53.2,0.619,14.81,1142,190.4,235.8,4.6,18.03,399.1,75.31,116.3,2.7,6.6,67.23,9925
HE 100 C,30.9,110.0,103.0,9.0,15.0,12,80.0,56.0,39.3,0.593,19.2,758.6,137.9,165.7,4.3,13.38,274.3,53.27,82.07,2.6,5.3,29.1,6163
HE 100 B,20.4,100.0,100.0,6.0,10.0,12,80.0,56.0,26.0,0.567,27.74,449.5,89.9,104.2,4.1,9.036,167.2,33.45,51.42,2.5,4,9.33,3375
HE 100 A,16.7,96.0,100.0,5.0,8.0,12,80.0,56.0,21.2,0.561,33.65,349.2,72.75,83.01,4,7.556,133.8,26.76,41.14,2.5,3.5,5.283,2581
HE 100 AA,12.2,91.0,100.0,4.2,5.5,12,80.0,56.0,15.6,0.553,45.17,236.5,51.97,58.35,3.8,6.147,92.06,18.41,28.44,2.4,2.9,2.325,1675
HL 1100 x 607,607.0,1138.0,410.0,31.0,55.0,30,1028.0,968.0,773.1,3.802,6.23,1624100,28540,33000,45.7,376.4,63470,3096,4886,9,17.6,5789,185250000
HL 1100 x 548,548.0,1128.0,407.0,28.0,50.0,30,1028.0,968.0,698.3,3.776,6.847,1456640,25820,29720,45.5,339.5,56400,2771,4358,8.9,16.3,4344,163220000
HL 1100 R,499.0,1118.0,405.0,26.0,45.0,30,1028.0,968.0,635.2,3.752,7.474,1305020,23340,26810,45.1,313.7,50000,2469,3879,8.8,15.1,3253,143400000
HL 1100 M,433.0,1108.0,402.0,22.0,40.0,30,1028.0,968.0,551.2,3.728,8.549,1136540,20510,23370,45.2,266.6,43420,2160,3370,8.8,13.7,2229,123500000
HL 1100 B,390.0,1100.0,400.0,20.0,36.0,30,1028.0,968.0,497.0,3.708,9.422,1016360,18470,20990,45,242.1,38490,1924,2995,8.7,12.7,1649,108680000
HL 1100 A,343.0,1090.0,400.0,18.0,31.0,30,1028.0,968.0,436.5,3.692,10.67,878350,16110,18270,44.6,216.9,33130,1656,2575,8.6,11.5,1104,92700000
HL 1000 x 976,976.0,1108.0,428.0,50.0,89.9,30,928.0,868.0,1241.4,3.776,3.875,2348680,42390,50290,43.4,570.7,118520,5538,8838,9.7,26.4,24410,304410000
HL 1000 x 883,883.0,1092.0,424.0,45.5,82.0,30,928.0,868.0,1125.3,3.737,4.23,2096410,38390,45260,43.1,516.4,104970,4951,7873,9.6,24.4,18510,265670000
HL 1000 x 748,748.0,1068.0,417.0,39.0,70.0,30,928.0,868.0,953.4,3.674,4.909,1731940,32430,37880,42.6,438.9,85110,4082,6459,9.4,21.4,11550,210640000
HL 1000 x 642,642.0,1048.0,412.0,34.0,60.0,30,928.0,868.0,817.6,3.624,5.646,1450580,27680,32090,42.1,379.6,70280,3411,5378,9.2,18.9,7381,170660000
HL 1000 x 591,591.0,1040.0,409.0,31.0,55.9,30,928.0,868.0,752.7,3.602,6.096,1331030,25590,29520,42,346.3,64010,3130,4915,9.2,17.7,5895,154320000
HL 1000 x 554,554.0,1032.0,408.0,29.5,52.0,30,928.0,868.0,705.8,3.585,6.47,1232370,23880,27490,41.7,328,59090,2896,4546,9.1,16.8,4834,141320000
HL 1000 x 539,539.0,1030.0,407.0,28.4,51.1,30,928.0,868.0,687.2,3.580,6.637,1202530,23350,26820,41.8,316.3,57630,2832,4435,9.1,16.5,4529,137550000
