Elongation [mm],Lode angle
0.48,0.7688008751445228
0.486,0.7720461678428031
0.492,0.7753618876723247
0.498,0.7786369634236153
0.504,0.781930613403414
0.51,0.7852268312205376
0.516,0.7885296780663654
0.522,0.7918408789353758
0.528,0.7951548320749388
0.534,0.7984711930232014
0.54,0.8017925610630119
0.546,0.8051146561343442
0.552,0.8084351124743965
0.558,0.8117569622337778
0.564,0.8150741633601616
0.57,0.8183885500574501
0.576,0.8216955578422513
0.582,0.824993307608272
0.588,0.8282839635145758
0.594,0.8315601462443735
0.6,0.834822828647278
0.594,0.8787119314033602
0.588,0.9845533682141273
0.582,0.5519568291462095
0.576,0.7544900533007306
0.57,0.5722013262840039
0.564,0.31854042189352133
0.558,0.11505358715015386
0.552,-0.02763423561886366
0.546,-0.16390008317216145
0.54,-0.29648941795680395
0.534,-0.39760290154004413
0.528,-0.4585212827309503
0.522,-0.4992422785271949
0.516,-0.5296754146286444
0.51,-0.5542043135002509
0.504,-0.5749780847423367
0.498,-0.593121939151658
0.492,-0.6092695130566844
0.486,-0.6237476390086891
0.48,-0.6367562979520185
0.474,-0.6483956333262317
0.468,-0.6587584862099873
0.462,-0.6678785557138629
0.456,-0.6757945962449684
0.45,-0.6825687779231315
0.444,-0.6881867603961622
0.438,-0.6927267397136042
0.432,-0.6960943193677135
0.426,-0.6981861022130544
0.42,-0.6988428610503532
0.414,-0.6978053816423048
0.408,-0.6959676195457254
0.402,-0.6938829256011876
0.396,-0.6917979120032353
0.39,-0.6896167753389646
0.384,-0.6872909469889528
0.378,-0.6848176610039084
0.372,-0.6822285601570514
0.366,-0.6794971464043099
0.36,-0.6766450752797756
0.354,-0.6737027141670591
0.348,-0.670656853029737
0.342,-0.6675287790379268
0.336,-0.6643133051704158
0.33,-0.6610211443753898
0.324,-0.6576938966480552
0.318,-0.6542981444327822
0.312,-0.6508547477685255
0.306,-0.6473726526477085
0.3,-0.6438433725183667
0.294,-0.6403061470641228
0.288,-0.6367230016619887
0.282,-0.6331124437493667
0.276,-0.6295057550628941
0.27,-0.6258606741109324
0.264,-0.6222108442137246
0.258,-0.61856447190563
0.252,-0.6148964033791032
0.246,-0.6112193346592918
0.24,-0.6075524640100768
0.234,-0.6038843176301929
0.228,-0.6002082574772226
0.222,-0.5965435447091668
0.216,-0.5928831576387095
0.21,-0.5892185247197594
0.204,-0.5855644815903586
0.198,-0.5819398910982777
0.192,-0.5783076918822375
0.186,-0.5746835101611989
0.18,-0.5711122274203675
0.174,-0.5675325041686514
0.168,-0.5639822544273672
0.162,-0.5604319592755863
0.156,-0.5569351885797799
0.15,-0.5534353270176732
0.144,-0.5499566936489236
0.138,-0.5465071060251236
0.132,-0.5430843114161537
0.126,-0.5396769175455741
0.12,-0.5362954101991795
0.114,-0.532946120350727
0.108,-0.5296143652169504
0.102,-0.5263253523535136
0.096,-0.5230606480763645
0.09,-0.519833407354626
0.084,-0.5166286976255258
0.078,-0.513465950438045
0.072,-0.5103327825909825
0.066,-0.507236025819377
0.06,-0.5041710216369867
0.054,-0.5011418853976815
0.048,-0.49814907588093976
0.042,-0.49519696964717114
0.036,-0.492281491183463
0.03,-0.4894090374785347
0.024,-0.48656998092938575
0.018,-0.48376997207672556
0.012,-0.4810110685307344
0.006,-0.47828605213398057
0.0,-0.4755925155092224
0.006,-0.30789144084968845
0.012,0.4714105453522093
0.018,0.6454321325121504
0.024,0.5362239398661547
0.03,0.1251562262969789
0.036,0.0840432160520145
0.042,0.13382628201658417
0.048,0.17841433798210626
0.054,0.1905461145464603
0.06,0.23213709918903416
0.066,0.2861452089543509
0.072,0.3362319714474137
0.078,0.3788129330615585
0.084,0.4121088459747312
0.09,0.43601891311107627
0.096,0.45512339082621467
0.102,0.4714145147435541
0.108,0.48577228360289404
0.114,0.4986504509837319
0.12,0.5103238381992075
0.126,0.5209630821067371
0.132,0.5306370193846172
0.138,0.5392528128618281
0.144,0.5463966552076265
0.15,0.551649126375689
0.156,0.5560419016998056
0.162,0.5599138139133968
0.168,0.5635251182614048
0.174,0.5672071008609552
0.18,0.5709215589820472
0.186,0.5746576302630932
0.192,0.5783894930542496
0.198,0.582090737433936
0.204,0.585820716330493
0.21,0.5895655318581599
0.216,0.593334777067293
0.222,0.5970930994055883
0.228,0.6008517221398022
0.234,0.6046143589467755
0.24,0.6083497704805062
0.246,0.6120659496131383
0.252,0.6157647330044186
0.258,0.6194423050152582
0.264,0.6230895219872681
0.27,0.6267129321060119
0.276,0.6303061183914578
0.282,0.6338791599057976
0.288,0.6374182117884256
0.294,0.640936454388286
0.3,0.6444331304841633
0.306,0.6479054303181883
0.312,0.6513551162032368
0.318,0.6547856195265306
0.324,0.6581979248420678
0.33,0.6615927625094201
0.336,0.6649748326232165
0.342,0.6683456027848892
0.348,0.6717065122368165
0.354,0.6750605161833512
0.36,0.6784105827559015
0.366,0.6817567877909352
0.372,0.6851017724874103
0.378,0.6884460732874935
0.384,0.69179103318405
0.39,0.6951365711405982
0.396,0.698484512146567
0.402,0.7018357063862739
0.408,0.7051924797772261
0.414,0.70855555837449
0.42,0.7119264284311888
0.426,0.7153053685273815
0.432,0.7186958655744463
0.438,0.7220966473717603
0.444,0.725510437308277
0.45,0.7289345744095013
0.456,0.7323709522228004
0.462,0.7358213171217619
0.468,0.7392835001415066
0.474,0.7427585964328348
0.48,0.7462443596352427
0.486,0.7497438659466046
0.492,0.7532553870950301
0.498,0.75677496946769
0.504,0.7603059890395335
0.51,0.7638492770684271
0.516,0.7673968804197304
0.522,0.7709512449653637
0.528,0.7745149989176803
0.534,0.7780800780715019
0.54,0.7816502697499275
0.546,0.7852206851968571
0.552,0.7887880627734168
0.558,0.7923552590642451
0.564,0.7959149594803258
0.57,0.79946926503303
0.576,0.8030121207976683
0.582,0.8065424279758254
0.588,0.8100585839178139
0.594,0.8135539689280947
0.6,0.8170315711265581
0.594,0.8615585156116218
0.588,0.9858086500253652
0.582,0.757430329566174
0.576,0.735514428749925
0.57,0.5201920452940568
0.564,0.264766480443991
0.558,0.08562166323165582
0.552,-0.047913965913764296
0.546,-0.18099432070012694
0.54,-0.30590345859088053
0.534,-0.39643675879261847
0.528,-0.4504900542689159
0.522,-0.48754071720439274
0.516,-0.515791764278741
0.51,-0.5388988813543645
0.504,-0.5586767423452754
0.498,-0.5760735306663635
0.492,-0.5915913561134987
0.486,-0.605518019344642
0.48,-0.618007813887185
0.474,-0.6291470250651656
0.468,-0.6390454391218066
0.462,-0.6477047542247789
0.456,-0.6551948004804762
0.45,-0.6615795985451169
0.444,-0.6669053845108833
0.438,-0.6711962696025195
0.432,-0.6745705475511276
0.426,-0.6770236023062793
0.42,-0.678566447426041
0.414,-0.6792706733919062
0.408,-0.6789960903613463
0.402,-0.677729620887684
0.396,-0.6752845332328914
0.39,-0.6721800622993613
0.384,-0.6689155451373346
0.378,-0.6657031907407517
0.372,-0.6624275900424791
0.366,-0.6590969791905429
0.36,-0.6556695706472306
0.354,-0.6521723499781242
0.348,-0.648594761787252
0.342,-0.644947182371322
0.336,-0.6412457758488859
0.33,-0.6374768291487359
0.324,-0.6336674984437668
0.318,-0.6298088462135387
0.312,-0.6259100226555069
0.306,-0.6219807466513522
0.3,-0.6180174181781056
0.294,-0.6140333265291779
0.288,-0.6100288095120906
0.282,-0.6059952782747031
0.276,-0.601946275056656
0.27,-0.5979099160591043
0.264,-0.5938405347941752
0.258,-0.5897653689938691
0.252,-0.5857101259236266
0.246,-0.5816214923182778
0.24,-0.5775420019445232
0.234,-0.5734871415653823
0.228,-0.5694168675534896
0.222,-0.5653584687324431
0.216,-0.5612969546970871
0.21,-0.5572693149983997
0.204,-0.5532259748436815
